,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,52.0,52.0,52.0,52.0,0.0,1672531259999,0.0,0,0.0,0.0,0
1,1672531260000,52.0,52.0,52.0,52.0,4.6,1672531319999,239.2,1,4.6,239.2,0
2,1672531320000,52.0,52.0,52.0,52.0,2.0,1672531379999,104.0,1,2.0,104.0,0
3,1672531380000,52.0,52.0,52.0,52.0,1.0,1672531439999,52.0,2,1.0,52.0,0
4,1672531440000,52.0,52.0,52.0,52.0,0.238,1672531499999,12.376,1,0.238,12.376,0
5,1672531500000,52.0,52.0,52.0,52.0,1.0,1672531559999,52.0,1,1.0,52.0,0
6,1672531560000,52.0,52.0,52.0,52.0,0.0,1672531619999,0.0,0,0.0,0.0,0
7,1672531620000,52.0,52.0,52.0,52.0,21.293,1672531679999,1107.236,3,21.293,1107.236,0
8,1672531680000,51.9,51.9,51.9,51.9,0.316,1672531739999,16.4004,1,0.0,0.0,0
9,1672531740000,51.9,51.9,51.9,51.9,0.0,1672531799999,0.0,0,0.0,0.0,0
10,1672531800000,51.9,51.9,51.9,51.9,0.0,1672531859999,0.0,0,0.0,0.0,0
11,1672531860000,51.9,51.9,51.9,51.9,0.0,1672531919999,0.0,0,0.0,0.0,0
12,1672531920000,51.9,51.9,51.9,51.9,0.0,1672531979999,0.0,0,0.0,0.0,0
13,1672531980000,51.9,51.9,51.9,51.9,0.0,1672532039999,0.0,0,0.0,0.0,0
14,1672532040000,51.9,51.9,51.9,51.9,0.0,1672532099999,0.0,0,0.0,0.0,0
15,1672532100000,51.9,51.9,51.9,51.9,143.144,1672532159999,7429.1736,15,2.267,117.6573,0
16,1672532160000,51.9,51.9,51.9,51.9,0.68,1672532219999,35.292,1,0.68,35.292,0
17,1672532220000,51.9,51.9,51.9,51.9,0.0,1672532279999,0.0,0,0.0,0.0,0
18,1672532280000,51.9,51.9,51.9,51.9,0.328,1672532339999,17.0232,1,0.328,17.0232,0
19,1672532340000,51.9,52.0,51.9,51.9,211.42,1672532399999,10976.698,14,204.041,10593.7279,0
20,1672532400000,52.0,52.0,52.0,52.0,87.538,1672532459999,4551.976,3,87.538,4551.976,0
21,1672532460000,52.0,52.0,52.0,52.0,0.0,1672532519999,0.0,0,0.0,0.0,0
22,1672532520000,51.9,51.9,51.9,51.9,15.688,1672532579999,814.2072,1,0.0,0.0,0
23,1672532580000,51.9,51.9,51.9,51.9,0.738,1672532639999,38.3022,1,0.0,0.0,0
24,1672532640000,51.9,51.9,51.9,51.9,0.0,1672532699999,0.0,0,0.0,0.0,0
25,1672532700000,51.9,51.9,51.9,51.9,0.0,1672532759999,0.0,0,0.0,0.0,0
26,1672532760000,51.9,51.9,51.9,51.9,0.0,1672532819999,0.0,0,0.0,0.0,0
27,1672532820000,51.9,51.9,51.9,51.9,0.0,1672532879999,0.0,0,0.0,0.0,0
28,1672532880000,51.9,51.9,51.9,51.9,0.0,1672532939999,0.0,0,0.0,0.0,0
29,1672532940000,51.9,51.9,51.9,51.9,0.0,1672532999999,0.0,0,0.0,0.0,0
30,1672533000000,51.9,51.9,51.9,51.9,0.0,1672533059999,0.0,0,0.0,0.0,0
31,1672533060000,51.9,51.9,51.9,51.9,0.0,1672533119999,0.0,0,0.0,0.0,0
32,1672533120000,51.9,52.0,51.9,52.0,5.729,1672533179999,297.8372,3,5.021,261.092,0
33,1672533180000,52.0,52.0,52.0,52.0,0.0,1672533239999,0.0,0,0.0,0.0,0
34,1672533240000,51.9,52.0,51.9,51.9,39.769,1672533299999,2066.308,8,22.969,1194.388,0
35,1672533300000,51.9,51.9,51.8,51.9,62.429,1672533359999,3240.0351,18,0.377,19.5663,0
36,1672533360000,51.9,51.9,51.9,51.9,0.25,1672533419999,12.975,1,0.25,12.975,0
37,1672533420000,51.8,51.8,51.8,51.8,132.546,1672533479999,6865.8828,21,54.06,2800.308,0
38,1672533480000,51.8,51.8,51.8,51.8,0.0,1672533539999,0.0,0,0.0,0.0,0
39,1672533540000,51.8,51.8,51.8,51.8,1.39,1672533599999,72.002,1,1.39,72.002,0
40,1672533600000,51.8,51.8,51.8,51.8,0.0,1672533659999,0.0,0,0.0,0.0,0
41,1672533660000,51.8,51.8,51.8,51.8,0.0,1672533719999,0.0,0,0.0,0.0,0
42,1672533720000,51.8,51.8,51.8,51.8,0.5,1672533779999,25.9,1,0.5,25.9,0
43,1672533780000,51.8,51.8,51.8,51.8,75.238,1672533839999,3897.3284,8,75.238,3897.3284,0
44,1672533840000,51.8,51.8,51.8,51.8,0.0,1672533899999,0.0,0,0.0,0.0,0
45,1672533900000,51.7,51.8,51.7,51.7,12.988,1672533959999,671.6084,14,1.288,66.7184,0
46,1672533960000,51.7,51.7,51.7,51.7,0.0,1672534019999,0.0,0,0.0,0.0,0
47,1672534020000,51.7,51.7,51.7,51.7,0.0,1672534079999,0.0,0,0.0,0.0,0
48,1672534080000,51.8,51.8,51.8,51.8,0.313,1672534139999,16.2134,1,0.313,16.2134,0
49,1672534140000,51.8,51.8,51.8,51.8,1.471,1672534199999,76.1978,2,1.471,76.1978,0
50,1672534200000,51.8,51.8,51.8,51.8,0.199,1672534259999,10.3082,2,0.199,10.3082,0
51,1672534260000,51.8,51.8,51.8,51.8,0.0,1672534319999,0.0,0,0.0,0.0,0
52,1672534320000,51.8,51.8,51.8,51.8,0.0,1672534379999,0.0,0,0.0,0.0,0
53,1672534380000,51.8,51.8,51.8,51.8,0.675,1672534439999,34.965,1,0.675,34.965,0
54,1672534440000,51.8,51.8,51.8,51.8,0.0,1672534499999,0.0,0,0.0,0.0,0
55,1672534500000,51.8,51.8,51.8,51.8,0.0,1672534559999,0.0,0,0.0,0.0,0
56,1672534560000,51.8,51.8,51.8,51.8,3.181,1672534619999,164.7758,2,3.181,164.7758,0
57,1672534620000,51.8,51.8,51.8,51.8,0.0,1672534679999,0.0,0,0.0,0.0,0
58,1672534680000,51.8,51.8,51.8,51.8,7.239,1672534739999,374.9802,1,7.239,374.9802,0
59,1672534740000,51.8,51.8,51.8,51.8,0.0,1672534799999,0.0,0,0.0,0.0,0
60,1672534800000,51.8,51.8,51.8,51.8,0.0,1672534859999,0.0,0,0.0,0.0,0
61,1672534860000,51.8,51.8,51.8,51.8,0.872,1672534919999,45.1696,1,0.872,45.1696,0
62,1672534920000,51.7,51.8,51.7,51.8,13.903,1672534979999,718.8654,2,0.803,41.5954,0
63,1672534980000,51.8,51.8,51.8,51.8,0.0,1672535039999,0.0,0,0.0,0.0,0
64,1672535040000,51.7,51.7,51.7,51.7,52.354,1672535099999,2706.7018,17,0.0,0.0,0
65,1672535100000,51.7,51.7,51.7,51.7,1.5,1672535159999,77.55,3,0.0,0.0,0
66,1672535160000,51.7,51.7,51.7,51.7,0.0,1672535219999,0.0,0,0.0,0.0,0
67,1672535220000,51.7,51.8,51.7,51.8,3.404,1672535279999,176.0465,3,0.597,30.9246,0
68,1672535280000,51.8,51.8,51.8,51.8,194.05,1672535339999,10051.79,13,194.05,10051.79,0
69,1672535340000,51.8,51.8,51.8,51.8,0.492,1672535399999,25.4856,1,0.492,25.4856,0
70,1672535400000,51.7,51.8,51.7,51.8,90.228,1672535459999,4665.0235,11,2.359,122.1962,0
71,1672535460000,51.8,51.8,51.7,51.7,2.829,1672535519999,146.4933,3,2.34,121.212,0
72,1672535520000,51.7,51.7,51.7,51.7,0.0,1672535579999,0.0,0,0.0,0.0,0
73,1672535580000,51.8,51.8,51.8,51.8,6.937,1672535639999,359.3366,3,6.937,359.3366,0
74,1672535640000,51.8,51.8,51.8,51.8,0.312,1672535699999,16.1616,1,0.312,16.1616,0
75,1672535700000,51.8,51.8,51.8,51.8,0.0,1672535759999,0.0,0,0.0,0.0,0
76,1672535760000,51.8,51.8,51.8,51.8,0.0,1672535819999,0.0,0,0.0,0.0,0
77,1672535820000,51.7,51.8,51.7,51.8,6.77,1672535879999,350.0862,3,0.772,39.9896,0
78,1672535880000,51.8,51.8,51.8,51.8,0.0,1672535939999,0.0,0,0.0,0.0,0
79,1672535940000,51.7,51.7,51.7,51.7,3.9,1672535999999,201.63,1,0.0,0.0,0
80,1672536000000,51.7,51.7,51.7,51.7,0.0,1672536059999,0.0,0,0.0,0.0,0
81,1672536060000,51.7,51.7,51.7,51.7,0.0,1672536119999,0.0,0,0.0,0.0,0
82,1672536120000,51.7,51.7,51.7,51.7,0.0,1672536179999,0.0,0,0.0,0.0,0
83,1672536180000,51.8,51.8,51.8,51.8,1.025,1672536239999,53.095,1,1.025,53.095,0
84,1672536240000,51.8,51.8,51.8,51.8,0.0,1672536299999,0.0,0,0.0,0.0,0
85,1672536300000,51.8,51.8,51.8,51.8,24.035,1672536359999,1245.013,3,24.035,1245.013,0
86,1672536360000,51.8,51.8,51.8,51.8,0.0,1672536419999,0.0,0,0.0,0.0,0
87,1672536420000,51.8,51.8,51.8,51.8,0.0,1672536479999,0.0,0,0.0,0.0,0
88,1672536480000,51.8,51.8,51.8,51.8,0.0,1672536539999,0.0,0,0.0,0.0,0
89,1672536540000,51.8,51.8,51.8,51.8,0.0,1672536599999,0.0,0,0.0,0.0,0
90,1672536600000,51.8,51.8,51.8,51.8,0.0,1672536659999,0.0,0,0.0,0.0,0
91,1672536660000,51.8,51.8,51.8,51.8,2.018,1672536719999,104.5324,1,2.018,104.5324,0
92,1672536720000,51.8,51.8,51.8,51.8,0.0,1672536779999,0.0,0,0.0,0.0,0
93,1672536780000,51.8,51.8,51.8,51.8,0.0,1672536839999,0.0,0,0.0,0.0,0
94,1672536840000,51.8,51.8,51.8,51.8,5.386,1672536899999,278.9948,2,5.386,278.9948,0
95,1672536900000,51.8,51.8,51.8,51.8,0.0,1672536959999,0.0,0,0.0,0.0,0
96,1672536960000,51.8,51.8,51.8,51.8,0.322,1672537019999,16.6796,1,0.322,16.6796,0
97,1672537020000,51.8,51.8,51.8,51.8,0.0,1672537079999,0.0,0,0.0,0.0,0
98,1672537080000,51.8,51.8,51.8,51.8,0.205,1672537139999,10.619,1,0.205,10.619,0
99,1672537140000,51.8,51.8,51.8,51.8,0.0,1672537199999,0.0,0,0.0,0.0,0
100,1672537200000,51.8,51.8,51.8,51.8,0.616,1672537259999,31.9088,1,0.616,31.9088,0
101,1672537260000,51.8,51.8,51.8,51.8,0.0,1672537319999,0.0,0,0.0,0.0,0
102,1672537320000,51.8,51.8,51.8,51.8,74.462,1672537379999,3857.1316,7,74.462,3857.1316,0
103,1672537380000,51.8,51.8,51.8,51.8,0.0,1672537439999,0.0,0,0.0,0.0,0
104,1672537440000,51.8,51.8,51.8,51.8,0.0,1672537499999,0.0,0,0.0,0.0,0
105,1672537500000,51.8,51.8,51.8,51.8,0.0,1672537559999,0.0,0,0.0,0.0,0
106,1672537560000,51.8,51.8,51.8,51.8,0.303,1672537619999,15.6954,1,0.303,15.6954,0
107,1672537620000,51.8,51.8,51.8,51.8,0.0,1672537679999,0.0,0,0.0,0.0,0
108,1672537680000,51.8,51.8,51.8,51.8,5.005,1672537739999,259.259,1,5.005,259.259,0
109,1672537740000,51.8,51.8,51.8,51.8,30.342,1672537799999,1571.7156,7,30.342,1571.7156,0
110,1672537800000,51.8,51.8,51.8,51.8,39.242,1672537859999,2032.7356,3,39.242,2032.7356,0
111,1672537860000,51.8,51.8,51.8,51.8,29.58,1672537919999,1532.244,4,29.58,1532.244,0
112,1672537920000,51.8,51.8,51.8,51.8,8.914,1672537979999,461.7452,4,8.914,461.7452,0
113,1672537980000,51.8,51.8,51.8,51.8,2.896,1672538039999,150.0128,1,2.896,150.0128,0
114,1672538040000,51.7,51.8,51.7,51.8,1.639,1672538099999,84.813,3,0.767,39.7306,0
115,1672538100000,51.8,51.8,51.8,51.8,32.0,1672538159999,1657.6,5,32.0,1657.6,0
116,1672538160000,51.8,51.8,51.8,51.8,1.011,1672538219999,52.3698,1,1.011,52.3698,0
117,1672538220000,51.8,51.9,51.8,51.9,132.202,1672538279999,6854.435,48,132.202,6854.435,0
118,1672538280000,51.9,51.9,51.9,51.9,1.227,1672538339999,63.6813,3,1.227,63.6813,0
119,1672538340000,51.9,51.9,51.9,51.9,4.727,1672538399999,245.3313,1,4.727,245.3313,0
120,1672538400000,51.9,51.9,51.9,51.9,0.0,1672538459999,0.0,0,0.0,0.0,0
121,1672538460000,51.9,51.9,51.9,51.9,0.0,1672538519999,0.0,0,0.0,0.0,0
122,1672538520000,51.9,51.9,51.9,51.9,5.247,1672538579999,272.3193,2,5.247,272.3193,0
123,1672538580000,51.9,51.9,51.9,51.9,1.209,1672538639999,62.7471,3,1.209,62.7471,0
124,1672538640000,51.9,51.9,51.9,51.9,0.963,1672538699999,49.9797,1,0.963,49.9797,0
125,1672538700000,51.9,51.9,51.9,51.9,0.7,1672538759999,36.33,1,0.7,36.33,0
126,1672538760000,51.9,51.9,51.9,51.9,39.183,1672538819999,2033.5977,5,39.183,2033.5977,0
127,1672538820000,51.9,51.9,51.8,51.8,0.666,1672538879999,34.5321,2,0.333,17.2827,0
128,1672538880000,51.8,51.8,51.8,51.8,0.0,1672538939999,0.0,0,0.0,0.0,0
129,1672538940000,51.9,51.9,51.9,51.9,9.939,1672538999999,515.8341,2,9.939,515.8341,0
130,1672539000000,51.8,51.8,51.8,51.8,1.06,1672539059999,54.908,1,0.0,0.0,0
131,1672539060000,51.8,51.8,51.8,51.8,0.0,1672539119999,0.0,0,0.0,0.0,0
132,1672539120000,51.9,51.9,51.9,51.9,0.482,1672539179999,25.0158,1,0.482,25.0158,0
133,1672539180000,51.9,51.9,51.9,51.9,0.0,1672539239999,0.0,0,0.0,0.0,0
134,1672539240000,51.9,52.0,51.9,52.0,122.757,1672539299999,6375.3113,27,121.957,6333.7913,0
135,1672539300000,52.0,52.0,52.0,52.0,0.874,1672539359999,45.448,3,0.874,45.448,0
136,1672539360000,51.9,51.9,51.9,51.9,0.359,1672539419999,18.6321,1,0.0,0.0,0
137,1672539420000,51.9,51.9,51.9,51.9,0.0,1672539479999,0.0,0,0.0,0.0,0
138,1672539480000,51.9,51.9,51.9,51.9,4.9,1672539539999,254.31,8,0.0,0.0,0
139,1672539540000,51.9,51.9,51.9,51.9,14.429,1672539599999,748.8651,2,0.0,0.0,0
140,1672539600000,52.0,52.0,52.0,52.0,0.323,1672539659999,16.796,1,0.323,16.796,0
141,1672539660000,51.9,51.9,51.9,51.9,0.333,1672539719999,17.2827,1,0.0,0.0,0
142,1672539720000,51.9,51.9,51.9,51.9,0.324,1672539779999,16.8156,1,0.0,0.0,0
143,1672539780000,51.9,51.9,51.9,51.9,0.0,1672539839999,0.0,0,0.0,0.0,0
144,1672539840000,51.9,51.9,51.9,51.9,0.0,1672539899999,0.0,0,0.0,0.0,0
145,1672539900000,51.9,51.9,51.9,51.9,0.0,1672539959999,0.0,0,0.0,0.0,0
146,1672539960000,51.9,52.1,51.9,52.1,43.049,1672540019999,2238.8395,15,39.114,2034.3406,0
147,1672540020000,52.0,52.0,52.0,52.0,0.324,1672540079999,16.848,1,0.0,0.0,0
148,1672540080000,52.0,52.0,52.0,52.0,0.204,1672540139999,10.608,1,0.0,0.0,0
149,1672540140000,52.0,52.0,52.0,52.0,1.011,1672540199999,52.572,1,0.0,0.0,0
150,1672540200000,52.0,52.0,52.0,52.0,0.0,1672540259999,0.0,0,0.0,0.0,0
151,1672540260000,52.0,52.0,52.0,52.0,2.4,1672540319999,124.8,3,0.0,0.0,0
152,1672540320000,52.0,52.0,52.0,52.0,0.0,1672540379999,0.0,0,0.0,0.0,0
153,1672540380000,52.1,52.1,52.1,52.1,0.502,1672540439999,26.1542,2,0.502,26.1542,0
154,1672540440000,52.1,52.1,52.1,52.1,0.5,1672540499999,26.05,1,0.5,26.05,0
155,1672540500000,52.1,52.1,52.1,52.1,0.0,1672540559999,0.0,0,0.0,0.0,0
156,1672540560000,52.1,52.1,52.1,52.1,0.0,1672540619999,0.0,0,0.0,0.0,0
157,1672540620000,52.1,52.1,52.1,52.1,0.0,1672540679999,0.0,0,0.0,0.0,0
158,1672540680000,52.0,52.0,52.0,52.0,0.626,1672540739999,32.552,2,0.0,0.0,0
159,1672540740000,52.0,52.0,52.0,52.0,0.0,1672540799999,0.0,0,0.0,0.0,0
160,1672540800000,52.0,52.0,51.9,52.0,152.451,1672540859999,7925.852,26,1.005,52.26,0
161,1672540860000,52.0,52.0,52.0,52.0,0.0,1672540919999,0.0,0,0.0,0.0,0
162,1672540920000,52.0,52.0,52.0,52.0,0.505,1672540979999,26.26,1,0.505,26.26,0
163,1672540980000,52.0,52.0,52.0,52.0,0.0,1672541039999,0.0,0,0.0,0.0,0
164,1672541040000,52.0,52.0,52.0,52.0,0.0,1672541099999,0.0,0,0.0,0.0,0
165,1672541100000,52.0,52.0,52.0,52.0,0.0,1672541159999,0.0,0,0.0,0.0,0
166,1672541160000,52.0,52.0,52.0,52.0,0.0,1672541219999,0.0,0,0.0,0.0,0
167,1672541220000,52.0,52.0,52.0,52.0,0.0,1672541279999,0.0,0,0.0,0.0,0
168,1672541280000,52.0,52.0,52.0,52.0,0.0,1672541339999,0.0,0,0.0,0.0,0
169,1672541340000,52.0,52.0,52.0,52.0,0.201,1672541399999,10.452,1,0.201,10.452,0
170,1672541400000,52.0,52.0,52.0,52.0,0.0,1672541459999,0.0,0,0.0,0.0,0
171,1672541460000,52.0,52.0,52.0,52.0,0.0,1672541519999,0.0,0,0.0,0.0,0
172,1672541520000,52.0,52.0,52.0,52.0,1.54,1672541579999,80.08,1,1.54,80.08,0
173,1672541580000,52.0,52.0,52.0,52.0,0.198,1672541639999,10.296,1,0.198,10.296,0
174,1672541640000,52.0,52.0,52.0,52.0,0.0,1672541699999,0.0,0,0.0,0.0,0
175,1672541700000,52.0,52.0,52.0,52.0,0.0,1672541759999,0.0,0,0.0,0.0,0
176,1672541760000,52.0,52.0,52.0,52.0,100.0,1672541819999,5200.0,8,100.0,5200.0,0
177,1672541820000,52.0,52.0,52.0,52.0,0.0,1672541879999,0.0,0,0.0,0.0,0
178,1672541880000,51.9,51.9,51.9,51.9,7.144,1672541939999,370.7736,1,0.0,0.0,0
179,1672541940000,51.9,51.9,51.9,51.9,0.0,1672541999999,0.0,0,0.0,0.0,0
180,1672542000000,51.9,51.9,51.9,51.9,4.567,1672542059999,237.0273,2,0.0,0.0,0
181,1672542060000,51.9,51.9,51.8,51.8,168.445,1672542119999,8740.6955,25,4.167,216.2673,0
182,1672542120000,51.8,51.8,51.8,51.8,0.0,1672542179999,0.0,0,0.0,0.0,0
183,1672542180000,51.9,51.9,51.9,51.9,0.332,1672542239999,17.2308,1,0.332,17.2308,0
184,1672542240000,51.9,51.9,51.9,51.9,129.424,1672542299999,6717.1056,9,129.424,6717.1056,0
185,1672542300000,51.9,51.9,51.9,51.9,0.0,1672542359999,0.0,0,0.0,0.0,0
186,1672542360000,51.9,51.9,51.9,51.9,0.0,1672542419999,0.0,0,0.0,0.0,0
187,1672542420000,51.9,51.9,51.9,51.9,0.0,1672542479999,0.0,0,0.0,0.0,0
188,1672542480000,51.9,51.9,51.9,51.9,0.0,1672542539999,0.0,0,0.0,0.0,0
189,1672542540000,51.9,51.9,51.9,51.9,64.514,1672542599999,3348.2766,3,64.514,3348.2766,0
190,1672542600000,51.9,51.9,51.9,51.9,80.057,1672542659999,4154.9583,2,80.057,4154.9583,0
191,1672542660000,51.9,51.9,51.9,51.9,0.481,1672542719999,24.9639,1,0.481,24.9639,0
192,1672542720000,51.9,51.9,51.9,51.9,0.0,1672542779999,0.0,0,0.0,0.0,0
193,1672542780000,51.8,51.9,51.8,51.9,3.606,1672542839999,186.9174,5,1.266,65.7054,0
194,1672542840000,51.9,51.9,51.9,51.9,0.0,1672542899999,0.0,0,0.0,0.0,0
195,1672542900000,51.9,51.9,51.9,51.9,0.0,1672542959999,0.0,0,0.0,0.0,0
196,1672542960000,51.8,51.8,51.8,51.8,73.162,1672543019999,3789.7916,23,0.0,0.0,0
197,1672543020000,51.8,51.8,51.7,51.7,110.877,1672543079999,5741.8686,63,0.0,0.0,0
198,1672543080000,51.7,51.7,51.7,51.7,0.0,1672543139999,0.0,0,0.0,0.0,0
199,1672543140000,51.7,51.7,51.7,51.7,0.0,1672543199999,0.0,0,0.0,0.0,0
200,1672543200000,51.7,51.7,51.7,51.7,0.0,1672543259999,0.0,0,0.0,0.0,0
201,1672543260000,51.7,51.7,51.7,51.7,0.0,1672543319999,0.0,0,0.0,0.0,0
202,1672543320000,51.7,51.7,51.7,51.7,0.0,1672543379999,0.0,0,0.0,0.0,0
203,1672543380000,51.8,51.8,51.8,51.8,4.34,1672543439999,224.812,2,4.34,224.812,0
204,1672543440000,51.8,51.8,51.8,51.8,0.0,1672543499999,0.0,0,0.0,0.0,0
205,1672543500000,51.8,51.8,51.8,51.8,1.0,1672543559999,51.8,1,1.0,51.8,0
206,1672543560000,51.8,51.8,51.8,51.8,0.0,1672543619999,0.0,0,0.0,0.0,0
207,1672543620000,51.8,51.8,51.8,51.8,0.0,1672543679999,0.0,0,0.0,0.0,0
208,1672543680000,51.7,51.7,51.7,51.7,1.699,1672543739999,87.8383,2,0.0,0.0,0
209,1672543740000,51.7,51.7,51.7,51.7,0.0,1672543799999,0.0,0,0.0,0.0,0
210,1672543800000,51.7,51.7,51.7,51.7,0.0,1672543859999,0.0,0,0.0,0.0,0
211,1672543860000,51.7,51.7,51.7,51.7,0.0,1672543919999,0.0,0,0.0,0.0,0
212,1672543920000,51.8,51.8,51.8,51.8,39.382,1672543979999,2039.9876,5,39.382,2039.9876,0
213,1672543980000,51.8,51.8,51.8,51.8,0.0,1672544039999,0.0,0,0.0,0.0,0
214,1672544040000,51.8,51.8,51.8,51.8,0.0,1672544099999,0.0,0,0.0,0.0,0
215,1672544100000,51.8,51.8,51.8,51.8,0.0,1672544159999,0.0,0,0.0,0.0,0
216,1672544160000,51.8,51.8,51.8,51.8,0.0,1672544219999,0.0,0,0.0,0.0,0
217,1672544220000,51.8,51.8,51.8,51.8,7.756,1672544279999,401.7608,1,7.756,401.7608,0
218,1672544280000,51.8,51.8,51.8,51.8,0.0,1672544339999,0.0,0,0.0,0.0,0
