,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,0.014889,0.014894,0.014888,0.014892,5.256,1672531259999,0.07826661,18,5.207,0.07753703,0
1,1672531260000,0.014892,0.014894,0.014892,0.014893,5.198,1672531319999,0.07741432,10,2.026,0.03017505,0
2,1672531320000,0.014894,0.014895,0.01489,0.01489,9.261,1672531379999,0.13793022,15,3.256,0.04849556,0
3,1672531380000,0.014889,0.014889,0.01488,0.014885,19.79,1672531439999,0.29452234,16,0.84,0.0125034,0
4,1672531440000,0.014884,0.014886,0.014878,0.014885,39.008,1672531499999,0.58048899,45,15.368,0.22872606,0
5,1672531500000,0.014887,0.014888,0.014887,0.014888,2.183,1672531559999,0.03249918,9,1.097,0.0163319,0
6,1672531560000,0.014888,0.014889,0.014887,0.014887,4.517,1672531619999,0.06724765,6,0.203,0.0030223,0
7,1672531620000,0.014888,0.014888,0.014886,0.014886,10.733,1672531679999,0.15978967,10,8.9,0.13250319,0
8,1672531680000,0.014886,0.014888,0.014886,0.014887,8.177,1672531739999,0.12173168,18,6.828,0.10165024,0
9,1672531740000,0.014888,0.014889,0.014888,0.014889,3.799,1672531799999,0.05655964,12,1.378,0.02051581,0
10,1672531800000,0.014888,0.014889,0.014888,0.014889,1.086,1672531859999,0.01616929,10,0.962,0.01432318,0
11,1672531860000,0.014889,0.014891,0.014889,0.01489,6.797,1672531919999,0.10120576,13,0.419,0.00623919,0
12,1672531920000,0.01489,0.01489,0.014888,0.01489,13.832,1672531979999,0.20595815,12,11.141,0.16588949,0
13,1672531980000,0.014891,0.014892,0.014891,0.014892,7.546,1672532039999,0.11237166,6,6.705,0.0998475,0
14,1672532040000,0.014892,0.014892,0.014892,0.014892,0.961,1672532099999,0.0143112,5,0.0,0.0,0
15,1672532100000,0.014891,0.014892,0.014886,0.014887,1.965,1672532159999,0.02925793,8,0.748,0.0111357,0
16,1672532160000,0.014886,0.014888,0.014886,0.014888,7.778,1672532219999,0.1157932,17,4.963,0.07388721,0
17,1672532220000,0.014887,0.014887,0.014886,0.014887,0.899,1672532279999,0.01338335,9,0.058,0.00086344,0
18,1672532280000,0.014886,0.014887,0.014886,0.014887,19.415,1672532339999,0.28901803,21,15.831,0.23566663,0
19,1672532340000,0.014887,0.014892,0.014886,0.014892,2.938,1672532399999,0.04373589,10,0.283,0.00421341,0
