,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,0.02544,0.02544,0.02544,0.02544,0.0,1672531259999,0.0,0,0.0,0.0,0
1,1672531260000,0.02544,0.02544,0.02544,0.02544,0.0,1672531319999,0.0,0,0.0,0.0,0
2,1672531320000,0.02544,0.02544,0.02544,0.02544,0.0,1672531379999,0.0,0,0.0,0.0,0
3,1672531380000,0.02544,0.02544,0.02544,0.02544,0.0,1672531439999,0.0,0,0.0,0.0,0
4,1672531440000,0.02544,0.02544,0.02544,0.02544,0.0,1672531499999,0.0,0,0.0,0.0,0
5,1672531500000,0.02544,0.02544,0.02544,0.02544,0.0,1672531559999,0.0,0,0.0,0.0,0
6,1672531560000,0.02544,0.02544,0.02544,0.02544,0.0,1672531619999,0.0,0,0.0,0.0,0
7,1672531620000,0.02544,0.02544,0.02544,0.02544,0.0,1672531679999,0.0,0,0.0,0.0,0
8,1672531680000,0.02544,0.02544,0.02544,0.02544,0.0,1672531739999,0.0,0,0.0,0.0,0
9,1672531740000,0.02544,0.02544,0.02544,0.02544,0.0,1672531799999,0.0,0,0.0,0.0,0
10,1672531800000,0.02544,0.02544,0.02544,0.02544,0.0,1672531859999,0.0,0,0.0,0.0,0
11,1672531860000,0.02544,0.02544,0.02544,0.02544,0.0,1672531919999,0.0,0,0.0,0.0,0
12,1672531920000,0.02544,0.02544,0.02544,0.02544,0.0,1672531979999,0.0,0,0.0,0.0,0
13,1672531980000,0.02544,0.02544,0.02544,0.02544,0.0,1672532039999,0.0,0,0.0,0.0,0
14,1672532040000,0.02544,0.02544,0.02544,0.02544,0.0,1672532099999,0.0,0,0.0,0.0,0
15,1672532100000,0.02544,0.02544,0.02544,0.02544,0.0,1672532159999,0.0,0,0.0,0.0,0
16,1672532160000,0.02544,0.02544,0.02544,0.02544,0.0,1672532219999,0.0,0,0.0,0.0,0
17,1672532220000,0.02544,0.02544,0.02544,0.02544,0.0,1672532279999,0.0,0,0.0,0.0,0
18,1672532280000,0.02544,0.02544,0.02544,0.02544,0.0,1672532339999,0.0,0,0.0,0.0,0
19,1672532340000,0.0255,0.0255,0.0255,0.0255,879.66,1672532399999,22.43133,1,0.0,0.0,0
20,1672532400000,0.0255,0.0255,0.0255,0.0255,0.0,1672532459999,0.0,0,0.0,0.0,0
21,1672532460000,0.0255,0.0255,0.0255,0.0255,0.0,1672532519999,0.0,0,0.0,0.0,0
