,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,0.206,0.206,0.2058,0.2058,1.497,1672531259999,0.3080946,2,0.06,0.01236,0
1,1672531260000,0.2059,0.2059,0.2059,0.2059,0.496,1672531319999,0.1021264,2,0.0,0.0,0
2,1672531320000,0.2059,0.2059,0.2059,0.2059,0.0,1672531379999,0.0,0,0.0,0.0,0
3,1672531380000,0.2059,0.2059,0.2058,0.2058,2.059,1672531439999,0.4239116,13,0.0,0.0,0
4,1672531440000,0.2058,0.2058,0.2057,0.2057,3.848,1672531499999,0.7918864,22,0.0,0.0,0
5,1672531500000,0.2059,0.2059,0.2058,0.2058,0.857,1672531559999,0.1763755,9,0.049,0.0100891,0
6,1672531560000,0.2058,0.2058,0.2058,0.2058,4.813,1672531619999,0.9905154,5,4.493,0.9246594,0
7,1672531620000,0.2057,0.2057,0.2057,0.2057,0.215,1672531679999,0.0442255,1,0.0,0.0,0
8,1672531680000,0.2057,0.2059,0.2057,0.2059,5.352,1672531739999,1.1018935,5,5.103,1.0506742,0
9,1672531740000,0.2057,0.2057,0.2057,0.2057,0.126,1672531799999,0.0259182,1,0.0,0.0,0
10,1672531800000,0.2057,0.2057,0.2057,0.2057,0.0,1672531859999,0.0,0,0.0,0.0,0
11,1672531860000,0.2057,0.2057,0.2057,0.2057,0.0,1672531919999,0.0,0,0.0,0.0,0
12,1672531920000,0.2059,0.2059,0.2059,0.2059,0.114,1672531979999,0.0234726,1,0.114,0.0234726,0
13,1672531980000,0.2059,0.2059,0.2059,0.2059,2.316,1672532039999,0.4768644,1,2.316,0.4768644,0
14,1672532040000,0.2059,0.2059,0.2059,0.2059,0.0,1672532099999,0.0,0,0.0,0.0,0
15,1672532100000,0.2059,0.2059,0.2059,0.2059,0.0,1672532159999,0.0,0,0.0,0.0,0
16,1672532160000,0.2059,0.2059,0.2059,0.2059,0.0,1672532219999,0.0,0,0.0,0.0,0
17,1672532220000,0.2058,0.2058,0.2058,0.2058,2.43,1672532279999,0.500094,1,0.0,0.0,0
18,1672532280000,0.2058,0.2058,0.2058,0.2058,0.234,1672532339999,0.0481572,1,0.234,0.0481572,0
19,1672532340000,0.2058,0.2058,0.2058,0.2058,0.642,1672532399999,0.1321236,1,0.0,0.0,0
20,1672532400000,0.2058,0.2058,0.2058,0.2058,0.04,1672532459999,0.008232,1,0.0,0.0,0
21,1672532460000,0.2058,0.2058,0.2058,0.2058,0.0,1672532519999,0.0,0,0.0,0.0,0
22,1672532520000,0.2058,0.2059,0.2058,0.2059,1.434,1672532579999,0.2952075,6,0.903,0.1859277,0
23,1672532580000,0.2059,0.2059,0.2059,0.2059,1.78,1672532639999,0.366502,4,1.78,0.366502,0
24,1672532640000,0.2059,0.2059,0.2059,0.2059,0.078,1672532699999,0.0160602,1,0.0,0.0,0
25,1672532700000,0.206,0.206,0.206,0.206,3.338,1672532759999,0.687628,10,3.338,0.687628,0
26,1672532760000,0.206,0.2061,0.2059,0.2061,4.419,1672532819999,0.9106655,13,4.127,0.8505427,0
27,1672532820000,0.2061,0.2062,0.2061,0.2062,0.437,1672532879999,0.0900739,4,0.437,0.0900739,0
28,1672532880000,0.206,0.206,0.206,0.206,0.047,1672532939999,0.009682,1,0.0,0.0,0
29,1672532940000,0.2061,0.2062,0.2061,0.2062,0.964,1672532999999,0.1987463,3,0.964,0.1987463,0
30,1672533000000,0.2061,0.2062,0.2061,0.2062,1.262,1672533059999,0.2601939,3,1.262,0.2601939,0
31,1672533060000,0.2061,0.2061,0.2061,0.2061,0.037,1672533119999,0.0076257,1,0.037,0.0076257,0
32,1672533120000,0.2061,0.2062,0.2061,0.2062,4.819,1672533179999,0.9932249,15,2.005,0.4132595,0
33,1672533180000,0.2061,0.2061,0.2061,0.2061,0.1,1672533239999,0.02061,1,0.0,0.0,0
34,1672533240000,0.2062,0.2063,0.2062,0.2063,10.97,1672533299999,2.262092,20,9.317,1.9212434,0
35,1672533300000,0.2063,0.2063,0.2063,0.2063,3.437,1672533359999,0.7090531,14,1.618,0.3337934,0
36,1672533360000,0.2064,0.2064,0.2063,0.2063,11.524,1672533419999,2.3777609,11,4.062,0.8383503,0
37,1672533420000,0.2063,0.2063,0.2063,0.2063,0.799,1672533479999,0.1648337,5,0.799,0.1648337,0
38,1672533480000,0.2063,0.2063,0.2063,0.2063,0.599,1672533539999,0.1235737,2,0.0,0.0,0
39,1672533540000,0.2062,0.2062,0.2062,0.2062,2.054,1672533599999,0.4235348,1,0.0,0.0,0
40,1672533600000,0.2062,0.2062,0.2061,0.2061,1.613,1672533659999,0.3325758,7,0.927,0.1911474,0
41,1672533660000,0.2062,0.2062,0.2062,0.2062,5.151,1672533719999,1.0621362,3,3.225,0.664995,0
42,1672533720000,0.2062,0.2062,0.2062,0.2062,0.0,1672533779999,0.0,0,0.0,0.0,0
43,1672533780000,0.2062,0.2062,0.2062,0.2062,0.19,1672533839999,0.039178,2,0.0,0.0,0
44,1672533840000,0.2061,0.2061,0.206,0.206,6.36,1672533899999,1.3103968,13,0.0,0.0,0
45,1672533900000,0.2059,0.2061,0.2058,0.2061,33.683,1672533959999,6.9344593,24,8.575,1.7657056,0
46,1672533960000,0.2059,0.2059,0.2059,0.2059,0.284,1672534019999,0.0584756,1,0.0,0.0,0
47,1672534020000,0.2059,0.2059,0.2058,0.2059,59.287,1672534079999,12.2044928,11,51.269,10.5538456,0
48,1672534080000,0.2058,0.206,0.2058,0.206,1.057,1672534139999,0.2175364,2,0.029,0.005974,0
49,1672534140000,0.206,0.206,0.206,0.206,0.0,1672534199999,0.0,0,0.0,0.0,0
50,1672534200000,0.206,0.206,0.206,0.206,0.0,1672534259999,0.0,0,0.0,0.0,0
51,1672534260000,0.2058,0.206,0.2058,0.206,2.083,1672534319999,0.4288954,4,0.243,0.050058,0
52,1672534320000,0.206,0.206,0.206,0.206,0.0,1672534379999,0.0,0,0.0,0.0,0
53,1672534380000,0.206,0.206,0.206,0.206,2.276,1672534439999,0.468856,3,2.276,0.468856,0
54,1672534440000,0.2058,0.2058,0.2058,0.2058,3.7,1672534499999,0.76146,3,0.0,0.0,0
55,1672534500000,0.2059,0.2059,0.2059,0.2059,3.789,1672534559999,0.7801551,1,3.789,0.7801551,0
56,1672534560000,0.2059,0.2059,0.2059,0.2059,0.0,1672534619999,0.0,0,0.0,0.0,0
57,1672534620000,0.2059,0.2059,0.2059,0.2059,0.0,1672534679999,0.0,0,0.0,0.0,0
58,1672534680000,0.2059,0.2059,0.2059,0.2059,0.0,1672534739999,0.0,0,0.0,0.0,0
