,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,4697.0,4699.0,4697.0,4699.0,0.032,1672531259999,150.351,3,0.022,103.378,0
1,1672531260000,4699.0,4699.0,4699.0,4699.0,0.003,1672531319999,14.097,1,0.0,0.0,0
2,1672531320000,4699.0,4699.0,4698.0,4698.0,1.473,1672531379999,6920.978,5,0.0,0.0,0
3,1672531380000,4693.0,4693.0,4692.0,4692.0,0.372,1672531439999,1745.789,2,0.365,1712.945,0
4,1672531440000,4693.0,4694.0,4692.0,4694.0,1.27,1672531499999,5960.196,6,1.173,5504.889,0
5,1672531500000,4694.0,4694.0,4694.0,4694.0,0.007,1672531559999,32.858,1,0.0,0.0,0
6,1672531560000,4695.0,4695.0,4695.0,4695.0,0.092,1672531619999,431.94,1,0.0,0.0,0
7,1672531620000,4695.0,4695.0,4695.0,4695.0,0.014,1672531679999,65.73,2,0.004,18.78,0
8,1672531680000,4695.0,4695.0,4693.0,4693.0,5.109,1672531739999,23977.53,5,0.0,0.0,0
9,1672531740000,4691.0,4692.0,4691.0,4692.0,0.026,1672531799999,121.982,3,0.0,0.0,0
10,1672531800000,4692.0,4694.0,4692.0,4694.0,1.131,1672531859999,5308.113,4,1.124,5275.269,0
11,1672531860000,4693.0,4693.0,4693.0,4693.0,0.099,1672531919999,464.607,3,0.0,0.0,0
12,1672531920000,4691.0,4692.0,4691.0,4692.0,0.804,1672531979999,3772.365,2,0.801,3758.292,0
13,1672531980000,4692.0,4693.0,4692.0,4693.0,0.219,1672532039999,1027.746,3,0.0,0.0,0
14,1672532040000,4694.0,4694.0,4692.0,4692.0,2.565,1672532099999,12036.214,4,0.0,0.0,0
15,1672532100000,4692.0,4692.0,4692.0,4692.0,1.067,1672532159999,5006.364,3,0.0,0.0,0
16,1672532160000,4692.0,4692.0,4690.0,4690.0,0.058,1672532219999,272.022,4,0.0,0.0,0
17,1672532220000,4690.0,4690.0,4688.0,4688.0,0.157,1672532279999,736.29,4,0.095,445.55,0
18,1672532280000,4689.0,4691.0,4689.0,4691.0,1.132,1672532339999,5309.572,3,0.812,3809.092,0
