,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,16522.31,16525.1,16476.5,16525.1,1.15003,1672531259999,18976.0862891,13,0.20852,3445.090948,0
1,1672531260000,16524.38,16524.38,16524.38,16524.38,0.00069,1672531319999,11.4018222,1,0.0,0.0,0
2,1672531320000,16524.38,16524.38,16524.38,16524.38,0.0,1672531379999,0.0,0,0.0,0.0,0
3,1672531380000,16518.81,16518.81,16518.81,16518.81,0.00631,1672531439999,104.2336911,1,0.0,0.0,0
4,1672531440000,16518.81,16518.81,16518.81,16518.81,0.0,1672531499999,0.0,0,0.0,0.0,0
5,1672531500000,16518.81,16518.81,16518.81,16518.81,0.0,1672531559999,0.0,0,0.0,0.0,0
6,1672531560000,16522.7,16522.7,16522.7,16522.7,0.17558,1672531619999,2901.055666,1,0.17558,2901.055666,0
7,1672531620000,16522.7,16522.7,16522.7,16522.7,0.0,1672531679999,0.0,0,0.0,0.0,0
8,1672531680000,16522.7,16522.7,16522.7,16522.7,0.0,1672531739999,0.0,0,0.0,0.0,0
9,1672531740000,16522.7,16522.7,16522.7,16522.7,0.0,1672531799999,0.0,0,0.0,0.0,0
10,1672531800000,16522.7,16522.7,16522.7,16522.7,0.0,1672531859999,0.0,0,0.0,0.0,0
11,1672531860000,16517.6,16517.82,16517.6,16517.82,0.07962,1672531919999,1315.1428884,2,0.07962,1315.1428884,0
12,1672531920000,16517.82,16517.82,16517.82,16517.82,0.0,1672531979999,0.0,0,0.0,0.0,0
13,1672531980000,16517.82,16517.82,16517.82,16517.82,0.0,1672532039999,0.0,0,0.0,0.0,0
14,1672532040000,16517.82,16517.82,16517.82,16517.82,0.0,1672532099999,0.0,0,0.0,0.0,0
15,1672532100000,16517.82,16517.82,16517.82,16517.82,0.0,1672532159999,0.0,0,0.0,0.0,0
16,1672532160000,16517.82,16517.82,16517.82,16517.82,0.0,1672532219999,0.0,0,0.0,0.0,0
17,1672532220000,16517.82,16517.82,16517.82,16517.82,0.0,1672532279999,0.0,0,0.0,0.0,0
18,1672532280000,16517.82,16517.82,16517.82,16517.82,0.0,1672532339999,0.0,0,0.0,0.0,0
19,1672532340000,16517.82,16517.82,16517.82,16517.82,0.0,1672532399999,0.0,0,0.0,0.0,0
20,1672532400000,16517.82,16517.82,16517.82,16517.82,0.0,1672532459999,0.0,0,0.0,0.0,0
21,1672532460000,16517.82,16517.82,16517.82,16517.82,0.0,1672532519999,0.0,0,0.0,0.0,0
22,1672532520000,16517.82,16517.82,16517.82,16517.82,0.0,1672532579999,0.0,0,0.0,0.0,0
23,1672532580000,16522.7,16522.7,16522.7,16522.7,0.00136,1672532639999,22.470872,2,0.00136,22.470872,0
24,1672532640000,16522.7,16522.7,16522.7,16522.7,0.0,1672532699999,0.0,0,0.0,0.0,0
25,1672532700000,16522.7,16522.7,16522.7,16522.7,0.0,1672532759999,0.0,0,0.0,0.0,0
26,1672532760000,16524.38,16528.6,16524.38,16528.6,0.06449,1672532819999,1065.9267554,2,0.06449,1065.9267554,0
27,1672532820000,16528.6,16528.6,16528.6,16528.6,0.0,1672532879999,0.0,0,0.0,0.0,0
28,1672532880000,16528.6,16528.6,16528.6,16528.6,0.0,1672532939999,0.0,0,0.0,0.0,0
29,1672532940000,16533.34,16533.34,16533.34,16533.34,0.01008,1672532999999,166.6560672,1,0.01008,166.6560672,0
30,1672533000000,16533.34,16533.34,16531.98,16531.98,0.03852,1672533059999,636.8275504,2,0.03852,636.8275504,0
31,1672533060000,16531.98,16531.98,16531.98,16531.98,0.0,1672533119999,0.0,0,0.0,0.0,0
32,1672533120000,16531.98,16531.98,16531.98,16531.98,0.0,1672533179999,0.0,0,0.0,0.0,0
33,1672533180000,16531.98,16531.98,16531.98,16531.98,0.0,1672533239999,0.0,0,0.0,0.0,0
34,1672533240000,16531.98,16531.98,16531.98,16531.98,0.0,1672533299999,0.0,0,0.0,0.0,0
35,1672533300000,16531.98,16531.98,16531.98,16531.98,0.0,1672533359999,0.0,0,0.0,0.0,0
36,1672533360000,16531.98,16531.98,16531.98,16531.98,0.0,1672533419999,0.0,0,0.0,0.0,0
37,1672533420000,16507.67,16507.67,16507.51,16507.51,0.13524,1672533479999,2232.4874052,3,0.0,0.0,0
38,1672533480000,16514.6,16514.6,16514.6,16514.6,0.02753,1672533539999,454.646938,1,0.02753,454.646938,0
39,1672533540000,16515.3,16515.3,16515.3,16515.3,0.0039,1672533599999,64.40967,1,0.0039,64.40967,0
40,1672533600000,16515.3,16515.3,16515.3,16515.3,0.0,1672533659999,0.0,0,0.0,0.0,0
41,1672533660000,16515.3,16515.3,16515.3,16515.3,0.0,1672533719999,0.0,0,0.0,0.0,0
42,1672533720000,16515.3,16515.3,16515.3,16515.3,0.0,1672533779999,0.0,0,0.0,0.0,0
43,1672533780000,16515.3,16515.3,16515.3,16515.3,0.0,1672533839999,0.0,0,0.0,0.0,0
44,1672533840000,16515.3,16515.3,16515.3,16515.3,0.0,1672533899999,0.0,0,0.0,0.0,0
45,1672533900000,16515.3,16515.3,16515.3,16515.3,0.0,1672533959999,0.0,0,0.0,0.0,0
46,1672533960000,16515.3,16515.3,16515.3,16515.3,0.0,1672534019999,0.0,0,0.0,0.0,0
47,1672534020000,16513.0,16513.0,16513.0,16513.0,0.19418,1672534079999,3206.49434,1,0.19418,3206.49434,0
48,1672534080000,16513.0,16513.0,16513.0,16513.0,0.0,1672534139999,0.0,0,0.0,0.0,0
49,1672534140000,16513.0,16513.0,16513.0,16513.0,0.0,1672534199999,0.0,0,0.0,0.0,0
50,1672534200000,16513.0,16513.0,16513.0,16513.0,0.0,1672534259999,0.0,0,0.0,0.0,0
51,1672534260000,16513.0,16513.0,16513.0,16513.0,0.0,1672534319999,0.0,0,0.0,0.0,0
52,1672534320000,16513.0,16513.0,16513.0,16513.0,0.0,1672534379999,0.0,0,0.0,0.0,0
53,1672534380000,16513.0,16513.0,16513.0,16513.0,0.0,1672534439999,0.0,0,0.0,0.0,0
54,1672534440000,16513.0,16513.0,16513.0,16513.0,0.0,1672534499999,0.0,0,0.0,0.0,0
55,1672534500000,16513.0,16513.0,16513.0,16513.0,0.0,1672534559999,0.0,0,0.0,0.0,0
56,1672534560000,16513.0,16513.0,16513.0,16513.0,0.0,1672534619999,0.0,0,0.0,0.0,0
57,1672534620000,16513.0,16513.0,16513.0,16513.0,0.0,1672534679999,0.0,0,0.0,0.0,0
58,1672534680000,16513.0,16513.0,16513.0,16513.0,0.0,1672534739999,0.0,0,0.0,0.0,0
59,1672534740000,16513.0,16513.0,16513.0,16513.0,0.0,1672534799999,0.0,0,0.0,0.0,0
60,1672534800000,16513.0,16513.0,16513.0,16513.0,0.0,1672534859999,0.0,0,0.0,0.0,0
61,1672534860000,16513.0,16513.0,16513.0,16513.0,0.0,1672534919999,0.0,0,0.0,0.0,0
62,1672534920000,16513.0,16513.0,16513.0,16513.0,0.0,1672534979999,0.0,0,0.0,0.0,0
63,1672534980000,16513.0,16513.0,16513.0,16513.0,0.0,1672535039999,0.0,0,0.0,0.0,0
