,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,13678.76,13678.76,13678.76,13678.76,0.01089,1672531259999,148.9616964,1,0.01089,148.9616964,0
1,1672531260000,13678.76,13678.76,13678.76,13678.76,0.0,1672531319999,0.0,0,0.0,0.0,0
2,1672531320000,13678.76,13678.76,13678.76,13678.76,0.0,1672531379999,0.0,0,0.0,0.0,0
3,1672531380000,13670.0,13670.0,13669.39,13669.39,0.10658,1672531439999,1456.923224,4,0.0,0.0,0
4,1672531440000,13669.38,13669.38,13665.95,13665.95,0.11868,1672531499999,1622.2192176,4,0.09884,1351.0807361,0
5,1672531500000,13665.95,13665.95,13665.95,13665.95,0.0,1672531559999,0.0,0,0.0,0.0,0
6,1672531560000,13666.44,13668.08,13665.76,13667.49,0.05922,1672531619999,809.3756226,6,0.0,0.0,0
7,1672531620000,13667.49,13667.49,13667.49,13667.49,0.0,1672531679999,0.0,0,0.0,0.0,0
8,1672531680000,13666.24,13667.49,13666.24,13667.49,0.03708,1672531739999,506.7795021,3,0.02834,387.3365645,0
9,1672531740000,13666.1,13666.1,13666.1,13666.1,0.00878,1672531799999,119.988358,1,0.00878,119.988358,0
10,1672531800000,13666.1,13666.1,13666.1,13666.1,0.0,1672531859999,0.0,0,0.0,0.0,0
11,1672531860000,13666.1,13666.1,13666.1,13666.1,0.0,1672531919999,0.0,0,0.0,0.0,0
12,1672531920000,13661.56,13661.56,13661.56,13661.56,0.00865,1672531979999,118.172494,1,0.00865,118.172494,0
13,1672531980000,13661.56,13661.56,13661.56,13661.56,0.0,1672532039999,0.0,0,0.0,0.0,0
14,1672532040000,13658.75,13658.75,13658.75,13658.75,0.32169,1672532099999,4393.8832875,2,0.31417,4291.1694875,0
15,1672532100000,13658.75,13658.75,13658.75,13658.75,0.0,1672532159999,0.0,0,0.0,0.0,0
16,1672532160000,13661.42,13662.39,13659.25,13662.02,0.27614,1672532219999,3772.3739825,12,0.27614,3772.3739825,0
17,1672532220000,13661.19,13661.19,13661.19,13661.19,0.00178,1672532279999,24.3169182,1,0.00178,24.3169182,0
18,1672532280000,13665.39,13665.39,13665.39,13665.39,0.00672,1672532339999,91.8314208,1,0.00672,91.8314208,0
19,1672532340000,13667.54,13667.54,13667.54,13667.54,0.00802,1672532399999,109.6136708,1,0.0,0.0,0
20,1672532400000,13667.54,13667.54,13667.54,13667.54,0.0,1672532459999,0.0,0,0.0,0.0,0
21,1672532460000,13667.54,13667.54,13667.54,13667.54,0.0,1672532519999,0.0,0,0.0,0.0,0
22,1672532520000,13668.48,13668.48,13668.48,13668.48,0.08239,1672532579999,1126.1460672,2,0.0,0.0,0
23,1672532580000,13672.13,13672.13,13672.13,13672.13,0.00957,1672532639999,130.8422841,1,0.0,0.0,0
24,1672532640000,13672.13,13672.13,13672.13,13672.13,0.0,1672532699999,0.0,0,0.0,0.0,0
25,1672532700000,13672.13,13672.13,13672.13,13672.13,0.0,1672532759999,0.0,0,0.0,0.0,0
26,1672532760000,13672.13,13672.13,13672.13,13672.13,0.0,1672532819999,0.0,0,0.0,0.0,0
27,1672532820000,13672.13,13672.13,13672.13,13672.13,0.0,1672532879999,0.0,0,0.0,0.0,0
28,1672532880000,13672.13,13672.13,13672.13,13672.13,0.0,1672532939999,0.0,0,0.0,0.0,0
29,1672532940000,13676.1,13676.1,13676.1,13676.1,0.0096,1672532999999,131.29056,1,0.0,0.0,0
30,1672533000000,13676.14,13676.14,13672.13,13672.13,0.27877,1672533059999,3812.1058165,9,0.0,0.0,0
31,1672533060000,13672.13,13672.13,13672.13,13672.13,0.0,1672533119999,0.0,0,0.0,0.0,0
32,1672533120000,13672.13,13672.13,13669.37,13669.37,0.30504,1672533179999,4169.7514905,4,0.0,0.0,0
33,1672533180000,13669.37,13669.37,13669.37,13669.37,0.0,1672533239999,0.0,0,0.0,0.0,0
34,1672533240000,13663.62,13663.62,13663.62,13663.62,0.0578,1672533299999,789.757236,1,0.0578,789.757236,0
35,1672533300000,13663.68,13663.68,13659.52,13659.52,0.05441,1672533359999,743.2486427,4,0.00706,96.4655808,0
36,1672533360000,13661.74,13661.74,13656.36,13656.36,0.15375,1672533419999,2100.1691031,7,0.0822,1122.957458,0
37,1672533420000,13651.34,13654.32,13650.0,13654.32,0.31725,1672533479999,4331.5501982,5,0.24426,3335.2009376,0
38,1672533480000,13656.52,13656.92,13655.34,13656.92,0.12324,1672533539999,1683.0151578,3,0.12324,1683.0151578,0
39,1672533540000,13660.44,13661.4,13660.44,13661.4,0.07082,1672533599999,967.4611608,2,0.07082,967.4611608,0
40,1672533600000,13659.01,13659.01,13658.96,13658.96,0.01594,1672533659999,217.7242299,2,0.0,0.0,0
41,1672533660000,13655.55,13656.01,13655.43,13656.01,0.48026,1672533719999,6558.3444732,7,0.01201,164.0086801,0
42,1672533720000,13656.01,13656.01,13656.01,13656.01,0.0,1672533779999,0.0,0,0.0,0.0,0
43,1672533780000,13656.01,13656.01,13656.01,13656.01,0.0,1672533839999,0.0,0,0.0,0.0,0
44,1672533840000,13658.67,13659.42,13658.67,13659.42,0.21977,1672533899999,3001.8587744,3,0.21977,3001.8587744,0
45,1672533900000,13659.42,13659.42,13659.42,13659.42,0.0,1672533959999,0.0,0,0.0,0.0,0
46,1672533960000,13663.31,13663.31,13663.31,13663.31,0.01463,1672534019999,199.8942253,1,0.01463,199.8942253,0
47,1672534020000,13663.31,13663.31,13663.31,13663.31,0.0,1672534079999,0.0,0,0.0,0.0,0
48,1672534080000,13668.5,13668.5,13668.5,13668.5,0.00622,1672534139999,85.01807,1,0.00622,85.01807,0
49,1672534140000,13669.97,13670.01,13665.52,13665.52,0.13366,1672534199999,1826.8873507,6,0.06631,906.4577027,0
50,1672534200000,13665.52,13665.52,13665.52,13665.52,0.0,1672534259999,0.0,0,0.0,0.0,0
51,1672534260000,13668.38,13668.38,13668.38,13668.38,0.00074,1672534319999,10.1146012,1,0.00074,10.1146012,0
52,1672534320000,13668.38,13668.38,13668.38,13668.38,0.0,1672534379999,0.0,0,0.0,0.0,0
53,1672534380000,13667.35,13667.35,13665.82,13665.82,0.17681,1672534439999,2416.4291764,7,0.0,0.0,0
54,1672534440000,13665.82,13668.56,13665.82,13668.56,0.07836,1672534499999,1070.8799044,2,0.00958,130.9448048,0
55,1672534500000,13668.56,13668.56,13668.56,13668.56,0.0,1672534559999,0.0,0,0.0,0.0,0
56,1672534560000,13668.56,13668.56,13668.56,13668.56,0.0,1672534619999,0.0,0,0.0,0.0,0
57,1672534620000,13668.56,13668.56,13668.56,13668.56,0.0,1672534679999,0.0,0,0.0,0.0,0
58,1672534680000,13668.32,13669.49,13668.32,13669.49,0.0407,1672534739999,556.3028002,2,0.0407,556.3028002,0
