,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,2.663,2.663,2.663,2.663,0.0,1672531259999,0.0,0,0.0,0.0,0
1,1672531260000,2.663,2.663,2.663,2.663,0.0,1672531319999,0.0,0,0.0,0.0,0
2,1672531320000,2.663,2.663,2.662,2.662,19.06,1672531379999,50.74185,2,0.0,0.0,0
3,1672531380000,2.662,2.662,2.662,2.662,0.0,1672531439999,0.0,0,0.0,0.0,0
4,1672531440000,2.662,2.662,2.662,2.662,0.0,1672531499999,0.0,0,0.0,0.0,0
5,1672531500000,2.662,2.662,2.662,2.662,0.0,1672531559999,0.0,0,0.0,0.0,0
6,1672531560000,2.662,2.662,2.662,2.662,0.0,1672531619999,0.0,0,0.0,0.0,0
7,1672531620000,2.665,2.665,2.665,2.665,6.57,1672531679999,17.50905,1,6.57,17.50905,0
8,1672531680000,2.665,2.665,2.665,2.665,0.0,1672531739999,0.0,0,0.0,0.0,0
9,1672531740000,2.66,2.66,2.657,2.658,54.2,1672531799999,144.09863,13,0.0,0.0,0
10,1672531800000,2.658,2.658,2.658,2.658,0.0,1672531859999,0.0,0,0.0,0.0,0
11,1672531860000,2.658,2.658,2.658,2.658,18.11,1672531919999,48.13638,1,0.0,0.0,0
12,1672531920000,2.658,2.658,2.658,2.658,0.0,1672531979999,0.0,0,0.0,0.0,0
13,1672531980000,2.659,2.659,2.659,2.659,38.56,1672532039999,102.53104,1,38.56,102.53104,0
14,1672532040000,2.659,2.659,2.659,2.659,0.0,1672532099999,0.0,0,0.0,0.0,0
15,1672532100000,2.659,2.659,2.659,2.659,0.0,1672532159999,0.0,0,0.0,0.0,0
16,1672532160000,2.659,2.659,2.659,2.659,0.0,1672532219999,0.0,0,0.0,0.0,0
17,1672532220000,2.66,2.66,2.66,2.66,8.46,1672532279999,22.5036,1,8.46,22.5036,0
18,1672532280000,2.66,2.66,2.66,2.66,0.0,1672532339999,0.0,0,0.0,0.0,0
19,1672532340000,2.66,2.66,2.66,2.66,0.0,1672532399999,0.0,0,0.0,0.0,0
20,1672532400000,2.66,2.66,2.66,2.66,0.0,1672532459999,0.0,0,0.0,0.0,0
21,1672532460000,2.66,2.66,2.66,2.66,0.0,1672532519999,0.0,0,0.0,0.0,0
22,1672532520000,2.66,2.66,2.66,2.66,0.0,1672532579999,0.0,0,0.0,0.0,0
23,1672532580000,2.66,2.66,2.66,2.66,0.0,1672532639999,0.0,0,0.0,0.0,0
24,1672532640000,2.66,2.66,2.66,2.66,0.0,1672532699999,0.0,0,0.0,0.0,0
25,1672532700000,2.66,2.66,2.66,2.66,0.0,1672532759999,0.0,0,0.0,0.0,0
26,1672532760000,2.667,2.667,2.667,2.667,8.46,1672532819999,22.56282,1,8.46,22.56282,0
27,1672532820000,2.667,2.667,2.667,2.667,0.0,1672532879999,0.0,0,0.0,0.0,0
