,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,0.9999,0.9999,0.9999,0.9999,17.5,1672531259999,17.49825,1,0.0,0.0,0
1,1672531260000,0.9999,0.9999,0.9999,0.9999,17.0,1672531319999,16.9983,1,0.0,0.0,0
2,1672531320000,0.9999,1.0,0.9999,0.9999,322.4,1672531379999,322.36876,3,10.0,10.0,0
3,1672531380000,1.0,1.0,0.9999,0.9999,343.2,1672531439999,343.19829,4,326.1,326.1,0
4,1672531440000,1.0,1.0,0.9999,0.9999,412.6,1672531499999,412.59879,6,400.5,400.5,0
5,1672531500000,0.9999,1.0,0.9999,1.0,41.7,1672531559999,41.69706,3,12.3,12.3,0
6,1672531560000,0.9999,0.9999,0.9999,0.9999,15.5,1672531619999,15.49845,1,0.0,0.0,0
7,1672531620000,0.9999,0.9999,0.9999,0.9999,118.1,1672531679999,118.08819,2,0.0,0.0,0
8,1672531680000,1.0,1.0,0.9999,0.9999,42.1,1672531739999,42.09837,2,25.8,25.8,0
9,1672531740000,1.0,1.0,0.9999,0.9999,46.3,1672531799999,46.29821,3,28.4,28.4,0
10,1672531800000,0.9999,0.9999,0.9999,0.9999,13.1,1672531859999,13.09869,1,0.0,0.0,0
11,1672531860000,0.9999,1.0,0.9999,0.9999,38.1,1672531919999,38.09724,3,10.5,10.5,0
12,1672531920000,0.9999,0.9999,0.9999,0.9999,15.9,1672531979999,15.89841,1,0.0,0.0,0
13,1672531980000,1.0,1.0,0.9999,0.9999,28.4,1672532039999,28.39825,2,10.9,10.9,0
14,1672532040000,0.9999,0.9999,0.9999,0.9999,26.3,1672532099999,26.29737,2,0.0,0.0,0
15,1672532100000,0.9999,0.9999,0.9999,0.9999,13.3,1672532159999,13.29867,1,0.0,0.0,0
16,1672532160000,0.9999,0.9999,0.9999,0.9999,14.6,1672532219999,14.59854,1,0.0,0.0,0
17,1672532220000,0.9999,0.9999,0.9999,0.9999,15.1,1672532279999,15.09849,1,0.0,0.0,0
18,1672532280000,1.0,1.0,0.9999,0.9999,26.9,1672532339999,26.89851,2,12.0,12.0,0
19,1672532340000,0.9999,0.9999,0.9999,0.9999,16.1,1672532399999,16.09839,1,0.0,0.0,0
20,1672532400000,0.9999,0.9999,0.9999,0.9999,17.6,1672532459999,17.59824,1,0.0,0.0,0
21,1672532460000,0.9999,0.9999,0.9999,0.9999,12.9,1672532519999,12.89871,1,0.0,0.0,0
