,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,72.38,72.38,72.38,72.38,0.0,1672531259999,0.0,0,0.0,0.0,0
1,1672531260000,72.38,72.38,72.38,72.38,0.0,1672531319999,0.0,0,0.0,0.0,0
2,1672531320000,72.38,72.38,72.38,72.38,0.0,1672531379999,0.0,0,0.0,0.0,0
3,1672531380000,72.41,72.41,72.41,72.41,20.0,1672531439999,1448.2,1,20.0,1448.2,0
4,1672531440000,72.41,72.41,72.41,72.41,0.0,1672531499999,0.0,0,0.0,0.0,0
5,1672531500000,72.41,72.41,72.41,72.41,0.0,1672531559999,0.0,0,0.0,0.0,0
6,1672531560000,72.41,72.41,72.41,72.41,0.0,1672531619999,0.0,0,0.0,0.0,0
7,1672531620000,72.41,72.41,72.41,72.41,0.0,1672531679999,0.0,0,0.0,0.0,0
8,1672531680000,72.41,72.41,72.41,72.41,0.0,1672531739999,0.0,0,0.0,0.0,0
9,1672531740000,72.41,72.41,72.41,72.41,0.0,1672531799999,0.0,0,0.0,0.0,0
10,1672531800000,72.41,72.41,72.41,72.41,0.0,1672531859999,0.0,0,0.0,0.0,0
11,1672531860000,72.41,72.41,72.41,72.41,0.0,1672531919999,0.0,0,0.0,0.0,0
12,1672531920000,72.41,72.41,72.41,72.41,49.0,1672531979999,3548.09,2,49.0,3548.09,0
13,1672531980000,72.41,72.41,72.41,72.41,0.0,1672532039999,0.0,0,0.0,0.0,0
14,1672532040000,72.41,72.41,72.41,72.41,0.0,1672532099999,0.0,0,0.0,0.0,0
15,1672532100000,72.41,72.41,72.41,72.41,0.0,1672532159999,0.0,0,0.0,0.0,0
16,1672532160000,72.41,72.41,72.41,72.41,0.0,1672532219999,0.0,0,0.0,0.0,0
17,1672532220000,72.41,72.41,72.41,72.41,0.0,1672532279999,0.0,0,0.0,0.0,0
18,1672532280000,72.38,72.38,72.38,72.38,2.0,1672532339999,144.76,1,0.0,0.0,0
19,1672532340000,72.38,72.38,72.38,72.38,0.0,1672532399999,0.0,0,0.0,0.0,0
20,1672532400000,72.38,72.38,72.38,72.38,0.0,1672532459999,0.0,0,0.0,0.0,0
21,1672532460000,72.38,72.38,72.38,72.38,0.0,1672532519999,0.0,0,0.0,0.0,0
22,1672532520000,72.38,72.38,72.38,72.38,0.0,1672532579999,0.0,0,0.0,0.0,0
23,1672532580000,72.38,72.38,72.38,72.38,0.0,1672532639999,0.0,0,0.0,0.0,0
24,1672532640000,72.38,72.38,72.38,72.38,0.0,1672532699999,0.0,0,0.0,0.0,0
25,1672532700000,72.38,72.38,72.38,72.38,0.0,1672532759999,0.0,0,0.0,0.0,0
26,1672532760000,72.38,72.38,72.37,72.37,14.0,1672532819999,1013.28,2,0.0,0.0,0
27,1672532820000,72.37,72.37,72.37,72.37,0.0,1672532879999,0.0,0,0.0,0.0,0
28,1672532880000,72.37,72.37,72.37,72.37,0.0,1672532939999,0.0,0,0.0,0.0,0
29,1672532940000,72.37,72.37,72.37,72.37,0.0,1672532999999,0.0,0,0.0,0.0,0
30,1672533000000,72.37,72.37,72.37,72.37,0.0,1672533059999,0.0,0,0.0,0.0,0
31,1672533060000,72.37,72.37,72.37,72.37,0.0,1672533119999,0.0,0,0.0,0.0,0
32,1672533120000,72.37,72.37,72.37,72.37,0.0,1672533179999,0.0,0,0.0,0.0,0
33,1672533180000,72.37,72.37,72.37,72.37,0.0,1672533239999,0.0,0,0.0,0.0,0
34,1672533240000,72.41,72.41,72.41,72.41,101.0,1672533299999,7313.41,3,101.0,7313.41,0
35,1672533300000,72.41,72.41,72.41,72.41,0.0,1672533359999,0.0,0,0.0,0.0,0
36,1672533360000,72.43,72.43,72.43,72.43,49.0,1672533419999,3549.07,1,49.0,3549.07,0
37,1672533420000,72.43,72.43,72.43,72.43,0.0,1672533479999,0.0,0,0.0,0.0,0
38,1672533480000,72.43,72.43,72.43,72.43,0.0,1672533539999,0.0,0,0.0,0.0,0
39,1672533540000,72.43,72.43,72.43,72.43,0.0,1672533599999,0.0,0,0.0,0.0,0
40,1672533600000,72.43,72.43,72.43,72.43,0.0,1672533659999,0.0,0,0.0,0.0,0
41,1672533660000,72.43,72.43,72.43,72.43,0.0,1672533719999,0.0,0,0.0,0.0,0
42,1672533720000,72.43,72.43,72.43,72.43,0.0,1672533779999,0.0,0,0.0,0.0,0
43,1672533780000,72.43,72.43,72.43,72.43,0.0,1672533839999,0.0,0,0.0,0.0,0
44,1672533840000,72.43,72.43,72.43,72.43,0.0,1672533899999,0.0,0,0.0,0.0,0
45,1672533900000,72.43,72.43,72.43,72.43,0.0,1672533959999,0.0,0,0.0,0.0,0
46,1672533960000,72.43,72.43,72.43,72.43,0.0,1672534019999,0.0,0,0.0,0.0,0
47,1672534020000,72.43,72.43,72.43,72.43,0.0,1672534079999,0.0,0,0.0,0.0,0
48,1672534080000,72.43,72.43,72.43,72.43,0.0,1672534139999,0.0,0,0.0,0.0,0
49,1672534140000,72.43,72.43,72.43,72.43,0.0,1672534199999,0.0,0,0.0,0.0,0
50,1672534200000,72.43,72.43,72.43,72.43,0.0,1672534259999,0.0,0,0.0,0.0,0
51,1672534260000,72.43,72.43,72.43,72.43,0.0,1672534319999,0.0,0,0.0,0.0,0
52,1672534320000,72.43,72.43,72.43,72.43,0.0,1672534379999,0.0,0,0.0,0.0,0
53,1672534380000,72.43,72.43,72.43,72.43,0.0,1672534439999,0.0,0,0.0,0.0,0
54,1672534440000,72.43,72.43,72.43,72.43,0.0,1672534499999,0.0,0,0.0,0.0,0
55,1672534500000,72.43,72.43,72.43,72.43,0.0,1672534559999,0.0,0,0.0,0.0,0
56,1672534560000,72.43,72.43,72.43,72.43,0.0,1672534619999,0.0,0,0.0,0.0,0
57,1672534620000,72.43,72.43,72.43,72.43,0.0,1672534679999,0.0,0,0.0,0.0,0
58,1672534680000,72.41,72.41,72.41,72.41,100.0,1672534739999,7241.0,1,100.0,7241.0,0
59,1672534740000,72.41,72.41,72.41,72.41,0.0,1672534799999,0.0,0,0.0,0.0,0
60,1672534800000,72.41,72.41,72.41,72.41,3.0,1672534859999,217.23,1,3.0,217.23,0
61,1672534860000,72.41,72.41,72.41,72.41,0.0,1672534919999,0.0,0,0.0,0.0,0
62,1672534920000,72.41,72.41,72.41,72.41,0.0,1672534979999,0.0,0,0.0,0.0,0
63,1672534980000,72.41,72.41,72.41,72.41,0.0,1672535039999,0.0,0,0.0,0.0,0
64,1672535040000,72.41,72.41,72.41,72.41,0.0,1672535099999,0.0,0,0.0,0.0,0
65,1672535100000,72.41,72.41,72.41,72.41,0.0,1672535159999,0.0,0,0.0,0.0,0
66,1672535160000,72.41,72.41,72.41,72.41,0.0,1672535219999,0.0,0,0.0,0.0,0
67,1672535220000,72.41,72.41,72.41,72.41,0.0,1672535279999,0.0,0,0.0,0.0,0
68,1672535280000,72.41,72.41,72.41,72.41,0.0,1672535339999,0.0,0,0.0,0.0,0
69,1672535340000,72.41,72.41,72.41,72.41,0.0,1672535399999,0.0,0,0.0,0.0,0
70,1672535400000,72.41,72.41,72.41,72.41,0.0,1672535459999,0.0,0,0.0,0.0,0
71,1672535460000,72.41,72.41,72.41,72.41,0.0,1672535519999,0.0,0,0.0,0.0,0
72,1672535520000,72.41,72.41,72.41,72.41,0.0,1672535579999,0.0,0,0.0,0.0,0
73,1672535580000,72.41,72.41,72.41,72.41,0.0,1672535639999,0.0,0,0.0,0.0,0
74,1672535640000,72.41,72.41,72.41,72.41,0.0,1672535699999,0.0,0,0.0,0.0,0
75,1672535700000,72.41,72.41,72.41,72.41,0.0,1672535759999,0.0,0,0.0,0.0,0
76,1672535760000,72.41,72.41,72.41,72.41,0.0,1672535819999,0.0,0,0.0,0.0,0
77,1672535820000,72.41,72.41,72.41,72.41,0.0,1672535879999,0.0,0,0.0,0.0,0
78,1672535880000,72.41,72.41,72.41,72.41,0.0,1672535939999,0.0,0,0.0,0.0,0
79,1672535940000,72.41,72.41,72.41,72.41,0.0,1672535999999,0.0,0,0.0,0.0,0
80,1672536000000,72.41,72.41,72.41,72.41,0.0,1672536059999,0.0,0,0.0,0.0,0
81,1672536060000,72.41,72.41,72.41,72.41,0.0,1672536119999,0.0,0,0.0,0.0,0
82,1672536120000,72.41,72.41,72.41,72.41,0.0,1672536179999,0.0,0,0.0,0.0,0
83,1672536180000,72.41,72.41,72.41,72.41,0.0,1672536239999,0.0,0,0.0,0.0,0
84,1672536240000,72.41,72.41,72.41,72.41,0.0,1672536299999,0.0,0,0.0,0.0,0
85,1672536300000,72.41,72.41,72.41,72.41,0.0,1672536359999,0.0,0,0.0,0.0,0
86,1672536360000,72.41,72.41,72.41,72.41,0.0,1672536419999,0.0,0,0.0,0.0,0
87,1672536420000,72.41,72.41,72.41,72.41,0.0,1672536479999,0.0,0,0.0,0.0,0
88,1672536480000,72.41,72.41,72.41,72.41,0.0,1672536539999,0.0,0,0.0,0.0,0
89,1672536540000,72.36,72.36,72.36,72.36,8.0,1672536599999,578.88,1,0.0,0.0,0
90,1672536600000,72.38,72.38,72.38,72.38,49.0,1672536659999,3546.62,1,0.0,0.0,0
91,1672536660000,72.38,72.38,72.38,72.38,0.0,1672536719999,0.0,0,0.0,0.0,0
92,1672536720000,72.38,72.38,72.38,72.38,0.0,1672536779999,0.0,0,0.0,0.0,0
93,1672536780000,72.37,72.37,72.37,72.37,5.0,1672536839999,361.85,1,0.0,0.0,0
94,1672536840000,72.41,72.41,72.41,72.41,30.0,1672536899999,2172.3,1,30.0,2172.3,0
95,1672536900000,72.41,72.41,72.41,72.41,0.0,1672536959999,0.0,0,0.0,0.0,0
96,1672536960000,72.41,72.41,72.41,72.41,0.0,1672537019999,0.0,0,0.0,0.0,0
97,1672537020000,72.41,72.41,72.41,72.41,198.0,1672537079999,14337.18,2,198.0,14337.18,0
98,1672537080000,72.41,72.41,72.41,72.41,0.0,1672537139999,0.0,0,0.0,0.0,0
99,1672537140000,72.43,72.43,72.43,72.43,63.0,1672537199999,4563.09,2,63.0,4563.09,0
100,1672537200000,72.43,72.43,72.43,72.43,0.0,1672537259999,0.0,0,0.0,0.0,0
101,1672537260000,72.43,72.43,72.43,72.43,0.0,1672537319999,0.0,0,0.0,0.0,0
102,1672537320000,72.43,72.43,72.43,72.43,0.0,1672537379999,0.0,0,0.0,0.0,0
103,1672537380000,72.43,72.43,72.43,72.43,0.0,1672537439999,0.0,0,0.0,0.0,0
104,1672537440000,72.43,72.43,72.43,72.43,0.0,1672537499999,0.0,0,0.0,0.0,0
105,1672537500000,72.43,72.43,72.43,72.43,0.0,1672537559999,0.0,0,0.0,0.0,0
106,1672537560000,72.43,72.43,72.43,72.43,0.0,1672537619999,0.0,0,0.0,0.0,0
107,1672537620000,72.43,72.43,72.43,72.43,0.0,1672537679999,0.0,0,0.0,0.0,0
108,1672537680000,72.43,72.43,72.43,72.43,0.0,1672537739999,0.0,0,0.0,0.0,0
109,1672537740000,72.36,72.36,72.36,72.36,46.0,1672537799999,3328.56,1,0.0,0.0,0
110,1672537800000,72.36,72.36,72.36,72.36,0.0,1672537859999,0.0,0,0.0,0.0,0
111,1672537860000,72.36,72.36,72.36,72.36,52.0,1672537919999,3762.72,1,0.0,0.0,0
112,1672537920000,72.41,72.43,72.41,72.43,198.0,1672537979999,14339.16,2,198.0,14339.16,0
113,1672537980000,72.43,72.43,72.43,72.43,0.0,1672538039999,0.0,0,0.0,0.0,0
