,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,39.78,39.78,39.78,39.78,0.0,1672531259999,0.0,0,0.0,0.0,0
1,1672531260000,39.78,39.78,39.78,39.78,0.0,1672531319999,0.0,0,0.0,0.0,0
2,1672531320000,39.78,39.78,39.78,39.78,0.0,1672531379999,0.0,0,0.0,0.0,0
3,1672531380000,39.78,39.78,39.78,39.78,0.0,1672531439999,0.0,0,0.0,0.0,0
4,1672531440000,39.78,39.78,39.78,39.78,0.0,1672531499999,0.0,0,0.0,0.0,0
5,1672531500000,39.78,39.78,39.78,39.78,0.0,1672531559999,0.0,0,0.0,0.0,0
6,1672531560000,39.78,39.78,39.78,39.78,0.0,1672531619999,0.0,0,0.0,0.0,0
7,1672531620000,39.78,39.78,39.78,39.78,0.0,1672531679999,0.0,0,0.0,0.0,0
8,1672531680000,39.78,39.78,39.78,39.78,0.0,1672531739999,0.0,0,0.0,0.0,0
9,1672531740000,39.78,39.78,39.78,39.78,0.0,1672531799999,0.0,0,0.0,0.0,0
10,1672531800000,39.78,39.78,39.78,39.78,0.0,1672531859999,0.0,0,0.0,0.0,0
11,1672531860000,39.76,39.76,39.75,39.75,500.0,1672531919999,19875.17,3,0.0,0.0,0
12,1672531920000,39.75,39.75,39.75,39.75,0.0,1672531979999,0.0,0,0.0,0.0,0
13,1672531980000,39.75,39.75,39.75,39.75,0.0,1672532039999,0.0,0,0.0,0.0,0
14,1672532040000,39.75,39.75,39.75,39.75,0.0,1672532099999,0.0,0,0.0,0.0,0
15,1672532100000,39.75,39.75,39.75,39.75,0.0,1672532159999,0.0,0,0.0,0.0,0
16,1672532160000,39.75,39.75,39.75,39.75,0.0,1672532219999,0.0,0,0.0,0.0,0
17,1672532220000,39.75,39.75,39.75,39.75,0.0,1672532279999,0.0,0,0.0,0.0,0
18,1672532280000,39.75,39.75,39.75,39.75,0.0,1672532339999,0.0,0,0.0,0.0,0
19,1672532340000,39.75,39.75,39.75,39.75,48.0,1672532399999,1908.0,1,0.0,0.0,0
20,1672532400000,39.75,39.75,39.75,39.75,0.0,1672532459999,0.0,0,0.0,0.0,0
21,1672532460000,39.75,39.75,39.75,39.75,0.0,1672532519999,0.0,0,0.0,0.0,0
22,1672532520000,39.75,39.75,39.72,39.72,700.0,1672532579999,27813.73,5,0.0,0.0,0
23,1672532580000,39.72,39.72,39.72,39.72,0.0,1672532639999,0.0,0,0.0,0.0,0
24,1672532640000,39.72,39.72,39.72,39.72,0.0,1672532699999,0.0,0,0.0,0.0,0
25,1672532700000,39.72,39.72,39.72,39.72,0.0,1672532759999,0.0,0,0.0,0.0,0
26,1672532760000,39.77,39.77,39.77,39.77,200.0,1672532819999,7954.0,1,200.0,7954.0,0
27,1672532820000,39.78,39.78,39.78,39.78,118.0,1672532879999,4694.04,1,118.0,4694.04,0
28,1672532880000,39.78,39.78,39.78,39.78,0.0,1672532939999,0.0,0,0.0,0.0,0
29,1672532940000,39.78,39.78,39.78,39.78,0.0,1672532999999,0.0,0,0.0,0.0,0
30,1672533000000,39.76,39.76,39.73,39.73,370.0,1672533059999,14706.1,2,0.0,0.0,0
31,1672533060000,39.73,39.73,39.73,39.73,0.0,1672533119999,0.0,0,0.0,0.0,0
32,1672533120000,39.73,39.73,39.73,39.73,0.0,1672533179999,0.0,0,0.0,0.0,0
33,1672533180000,39.73,39.73,39.73,39.73,0.0,1672533239999,0.0,0,0.0,0.0,0
34,1672533240000,39.73,39.73,39.73,39.73,0.0,1672533299999,0.0,0,0.0,0.0,0
35,1672533300000,39.78,39.78,39.78,39.78,354.0,1672533359999,14082.12,1,354.0,14082.12,0
36,1672533360000,39.77,39.77,39.77,39.77,200.0,1672533419999,7954.0,2,200.0,7954.0,0
37,1672533420000,39.74,39.74,39.74,39.74,10.0,1672533479999,397.4,1,0.0,0.0,0
38,1672533480000,39.74,39.74,39.74,39.74,0.0,1672533539999,0.0,0,0.0,0.0,0
