,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,1759.88,1759.88,1759.88,1759.88,0.0094,1672531259999,16.542872,1,0.0094,16.542872,0
1,1672531260000,1759.88,1759.88,1759.88,1759.88,0.0,1672531319999,0.0,0,0.0,0.0,0
2,1672531320000,1759.88,1759.88,1759.88,1759.88,0.0,1672531379999,0.0,0,0.0,0.0,0
3,1672531380000,1759.88,1759.88,1759.88,1759.88,0.0,1672531439999,0.0,0,0.0,0.0,0
4,1672531440000,1759.62,1759.62,1759.62,1759.62,1.0067,1672531499999,1771.409454,1,0.0,0.0,0
5,1672531500000,1759.94,1759.95,1759.94,1759.95,1.6588,1672531559999,2919.404021,2,1.6588,2919.404021,0
6,1672531560000,1759.95,1759.95,1759.95,1759.95,0.0,1672531619999,0.0,0,0.0,0.0,0
7,1672531620000,1759.85,1759.85,1759.85,1759.85,0.3,1672531679999,527.955,1,0.0,0.0,0
8,1672531680000,1759.82,1759.82,1758.99,1758.99,2.2542,1672531739999,3965.634244,9,0.0,0.0,0
9,1672531740000,1758.77,1758.77,1758.41,1758.41,0.1696,1672531799999,298.260212,2,0.0,0.0,0
10,1672531800000,1758.92,1758.92,1758.92,1758.92,0.1259,1672531859999,221.448028,1,0.1259,221.448028,0
11,1672531860000,1758.68,1758.68,1758.67,1758.67,0.2281,1672531919999,401.153481,2,0.0,0.0,0
12,1672531920000,1758.66,1758.66,1758.66,1758.66,0.0183,1672531979999,32.183478,1,0.0,0.0,0
13,1672531980000,1758.66,1758.66,1758.66,1758.66,0.0,1672532039999,0.0,0,0.0,0.0,0
14,1672532040000,1758.12,1758.12,1758.12,1758.12,0.2402,1672532099999,422.300424,1,0.0,0.0,0
15,1672532100000,1757.77,1757.78,1757.77,1757.78,0.1424,1672532159999,250.306616,2,0.1424,250.306616,0
16,1672532160000,1758.8,1758.8,1758.8,1758.8,0.1706,1672532219999,300.05128,1,0.1706,300.05128,0
17,1672532220000,1758.8,1758.8,1758.8,1758.8,0.0,1672532279999,0.0,0,0.0,0.0,0
18,1672532280000,1759.55,1759.7,1759.55,1759.69,3.9766,1672532339999,6997.31916,7,3.9766,6997.31916,0
19,1672532340000,1759.41,1759.88,1759.41,1759.88,0.0931,1672532399999,163.827955,2,0.0,0.0,0
20,1672532400000,1759.97,1759.97,1759.96,1759.96,0.521,1672532459999,916.94121,5,0.0,0.0,0
21,1672532460000,1759.96,1759.96,1759.96,1759.96,0.0,1672532519999,0.0,0,0.0,0.0,0
22,1672532520000,1760.94,1760.94,1760.51,1760.51,0.4381,1672532579999,771.425889,3,0.3406,599.776164,0
23,1672532580000,1760.43,1760.43,1760.43,1760.43,0.0292,1672532639999,51.404556,1,0.0,0.0,0
24,1672532640000,1760.54,1760.54,1760.34,1760.34,0.6785,1672532699999,1194.41839,3,0.0,0.0,0
25,1672532700000,1760.79,1760.82,1760.79,1760.82,0.475,1672532759999,836.379726,3,0.475,836.379726,0
26,1672532760000,1761.21,1761.21,1761.21,1761.21,0.0153,1672532819999,26.946513,1,0.0153,26.946513,0
27,1672532820000,1760.93,1760.94,1760.93,1760.94,0.4451,1672532879999,783.79326,2,0.4451,783.79326,0
28,1672532880000,1761.0,1761.0,1761.0,1761.0,1.6559,1672532939999,2916.0399,1,0.0,0.0,0
29,1672532940000,1760.88,1760.88,1760.87,1760.88,3.3718,1672532999999,5937.332184,4,0.0,0.0,0
30,1672533000000,1760.62,1760.62,1760.62,1760.62,0.3,1672533059999,528.186,1,0.0,0.0,0
31,1672533060000,1760.84,1760.85,1760.84,1760.85,1.7037,1672533119999,2999.959017,2,1.7037,2999.959017,0
32,1672533120000,1760.4,1760.4,1759.16,1759.16,3.9519,1672533179999,6953.334828,12,0.2082,366.415344,0
33,1672533180000,1759.16,1759.16,1759.16,1759.16,0.0,1672533239999,0.0,0,0.0,0.0,0
34,1672533240000,1759.02,1759.02,1757.96,1757.96,3.5236,1672533299999,6197.050243,13,0.0,0.0,0
35,1672533300000,1758.31,1758.31,1756.96,1756.96,1.7891,1672533359999,3143.530631,2,1.7891,3143.530631,0
36,1672533360000,1757.41,1757.41,1756.8,1756.8,0.211,1672533419999,370.761416,3,0.211,370.761416,0
37,1672533420000,1756.8,1756.8,1756.8,1756.8,0.0,1672533479999,0.0,0,0.0,0.0,0
38,1672533480000,1756.73,1756.73,1756.73,1756.73,0.3,1672533539999,527.019,1,0.3,527.019,0
39,1672533540000,1757.17,1757.27,1757.17,1757.27,1.2,1672533599999,2108.676,4,1.2,2108.676,0
40,1672533600000,1757.08,1757.08,1757.08,1757.08,0.1151,1672533659999,202.239908,1,0.1151,202.239908,0
41,1672533660000,1757.08,1757.08,1757.08,1757.08,0.0,1672533719999,0.0,0,0.0,0.0,0
42,1672533720000,1757.08,1757.08,1757.08,1757.08,0.0,1672533779999,0.0,0,0.0,0.0,0
43,1672533780000,1757.08,1757.08,1757.08,1757.08,0.0,1672533839999,0.0,0,0.0,0.0,0
44,1672533840000,1757.08,1757.08,1757.08,1757.08,0.0,1672533899999,0.0,0,0.0,0.0,0
45,1672533900000,1757.08,1757.08,1757.08,1757.08,0.0,1672533959999,0.0,0,0.0,0.0,0
46,1672533960000,1756.57,1756.63,1756.57,1756.63,0.074,1672534019999,129.987032,2,0.074,129.987032,0
47,1672534020000,1756.63,1756.63,1756.63,1756.63,0.0,1672534079999,0.0,0,0.0,0.0,0
48,1672534080000,1756.63,1756.63,1756.63,1756.63,0.0,1672534139999,0.0,0,0.0,0.0,0
49,1672534140000,1756.63,1756.63,1756.63,1756.63,0.0,1672534199999,0.0,0,0.0,0.0,0
50,1672534200000,1756.63,1756.63,1756.63,1756.63,0.0,1672534259999,0.0,0,0.0,0.0,0
51,1672534260000,1756.63,1756.63,1756.63,1756.63,0.0,1672534319999,0.0,0,0.0,0.0,0
52,1672534320000,1756.63,1756.63,1756.63,1756.63,0.0,1672534379999,0.0,0,0.0,0.0,0
53,1672534380000,1756.63,1756.63,1756.63,1756.63,0.0,1672534439999,0.0,0,0.0,0.0,0
54,1672534440000,1756.96,1756.96,1756.95,1756.95,0.1858,1672534499999,326.442475,2,0.0,0.0,0
55,1672534500000,1757.87,1757.88,1757.87,1757.88,0.1422,1672534559999,249.969456,2,0.1422,249.969456,0
56,1672534560000,1757.88,1757.88,1757.88,1757.88,0.1137,1672534619999,199.870956,1,0.1137,199.870956,0
57,1672534620000,1757.88,1757.88,1757.88,1757.88,0.0,1672534679999,0.0,0,0.0,0.0,0
58,1672534680000,1757.88,1757.88,1757.88,1757.88,0.0,1672534739999,0.0,0,0.0,0.0,0
59,1672534740000,1757.88,1757.88,1757.88,1757.88,0.0,1672534799999,0.0,0,0.0,0.0,0
60,1672534800000,1757.88,1757.88,1757.88,1757.88,0.0,1672534859999,0.0,0,0.0,0.0,0
61,1672534860000,1757.88,1757.88,1757.88,1757.88,0.0,1672534919999,0.0,0,0.0,0.0,0
62,1672534920000,1757.88,1757.88,1757.88,1757.88,0.0,1672534979999,0.0,0,0.0,0.0,0
63,1672534980000,1757.61,1757.61,1757.6,1757.6,0.1745,1672535039999,306.702344,2,0.0,0.0,0
64,1672535040000,1757.6,1757.6,1757.6,1757.6,0.0,1672535099999,0.0,0,0.0,0.0,0
65,1672535100000,1757.6,1757.6,1757.6,1757.6,0.0,1672535159999,0.0,0,0.0,0.0,0
66,1672535160000,1756.97,1756.97,1756.97,1756.97,0.0582,1672535219999,102.255654,1,0.0,0.0,0
67,1672535220000,1756.97,1756.97,1756.97,1756.97,0.0,1672535279999,0.0,0,0.0,0.0,0
68,1672535280000,1756.97,1756.97,1756.97,1756.97,0.0,1672535339999,0.0,0,0.0,0.0,0
69,1672535340000,1758.53,1758.94,1758.53,1758.94,0.1231,1672535399999,216.480865,2,0.1089,191.503917,0
70,1672535400000,1758.94,1758.94,1758.94,1758.94,0.0,1672535459999,0.0,0,0.0,0.0,0
71,1672535460000,1758.94,1758.94,1758.94,1758.94,0.0,1672535519999,0.0,0,0.0,0.0,0
72,1672535520000,1759.44,1759.44,1759.17,1759.17,1.1549,1672535579999,2031.670293,2,0.018,31.66992,0
73,1672535580000,1759.17,1759.17,1759.17,1759.17,1.0,1672535639999,1759.17,2,0.0,0.0,0
74,1672535640000,1758.97,1758.97,1758.97,1758.97,0.0568,1672535699999,99.909496,1,0.0568,99.909496,0
75,1672535700000,1759.04,1759.17,1759.04,1759.17,0.5683,1672535759999,999.712816,4,0.5683,999.712816,0
76,1672535760000,1759.17,1759.17,1759.17,1759.17,0.0,1672535819999,0.0,0,0.0,0.0,0
77,1672535820000,1759.17,1759.17,1759.17,1759.17,0.0,1672535879999,0.0,0,0.0,0.0,0
78,1672535880000,1758.6,1758.6,1758.5,1758.5,0.2345,1672535939999,412.38806,2,0.0,0.0,0
79,1672535940000,1758.5,1758.5,1758.5,1758.5,0.0,1672535999999,0.0,0,0.0,0.0,0
80,1672536000000,1758.82,1758.85,1758.75,1758.84,2.5216,1672536059999,4435.047384,6,0.0,0.0,0
81,1672536060000,1758.84,1758.84,1758.84,1758.84,0.0,1672536119999,0.0,0,0.0,0.0,0
82,1672536120000,1758.28,1758.28,1758.27,1758.27,0.35,1672536179999,615.396834,3,0.0,0.0,0
83,1672536180000,1758.27,1758.27,1758.27,1758.27,0.0,1672536239999,0.0,0,0.0,0.0,0
84,1672536240000,1758.96,1758.96,1758.96,1758.96,0.1261,1672536299999,221.804856,1,0.1261,221.804856,0
85,1672536300000,1758.51,1758.51,1758.45,1758.45,1.0,1672536359999,1758.49059,5,0.0,0.0,0
86,1672536360000,1758.45,1758.45,1758.45,1758.45,0.0,1672536419999,0.0,0,0.0,0.0,0
87,1672536420000,1758.84,1758.94,1758.84,1758.94,2.8418,1672536479999,4998.343539,6,2.8418,4998.343539,0
88,1672536480000,1758.94,1758.94,1758.94,1758.94,0.0,1672536539999,0.0,0,0.0,0.0,0
89,1672536540000,1758.94,1758.94,1758.94,1758.94,0.0,1672536599999,0.0,0,0.0,0.0,0
90,1672536600000,1758.94,1758.94,1758.94,1758.94,0.0,1672536659999,0.0,0,0.0,0.0,0
91,1672536660000,1758.94,1758.94,1758.94,1758.94,0.0,1672536719999,0.0,0,0.0,0.0,0
92,1672536720000,1758.28,1758.28,1758.27,1758.27,1.0992,1672536779999,1932.691535,2,0.0,0.0,0
93,1672536780000,1758.27,1758.27,1758.27,1758.27,0.0,1672536839999,0.0,0,0.0,0.0,0
94,1672536840000,1758.27,1758.27,1758.27,1758.27,0.0,1672536899999,0.0,0,0.0,0.0,0
95,1672536900000,1758.27,1758.27,1758.27,1758.27,0.0,1672536959999,0.0,0,0.0,0.0,0
96,1672536960000,1759.22,1759.22,1758.25,1758.25,1.1408,1672537019999,2006.0412,6,0.0568,99.923696,0
