,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,6369.88,6369.88,6369.88,6369.88,0.0039,1672531259999,24.842532,1,0.0039,24.842532,0
1,1672531260000,6369.88,6369.88,6369.88,6369.88,0.0,1672531319999,0.0,0,0.0,0.0,0
2,1672531320000,6369.88,6369.88,6369.88,6369.88,0.0,1672531379999,0.0,0,0.0,0.0,0
3,1672531380000,6369.88,6369.88,6369.88,6369.88,0.0,1672531439999,0.0,0,0.0,0.0,0
4,1672531440000,6369.88,6369.88,6369.88,6369.88,0.0,1672531499999,0.0,0,0.0,0.0,0
5,1672531500000,6368.64,6368.65,6368.64,6368.65,0.5061,1672531559999,3223.173326,2,0.5061,3223.173326,0
6,1672531560000,6368.65,6368.65,6368.65,6368.65,0.0,1672531619999,0.0,0,0.0,0.0,0
7,1672531620000,6368.65,6368.65,6368.65,6368.65,0.0,1672531679999,0.0,0,0.0,0.0,0
8,1672531680000,6369.04,6369.04,6369.04,6369.04,0.239,1672531739999,1522.20056,1,0.0,0.0,0
9,1672531740000,6365.71,6369.04,6363.52,6363.52,0.5928,1672531799999,3774.632516,7,0.2913,1855.061045,0
10,1672531800000,6363.52,6363.52,6363.52,6363.52,0.0,1672531859999,0.0,0,0.0,0.0,0
11,1672531860000,6363.52,6363.52,6363.52,6363.52,0.0,1672531919999,0.0,0,0.0,0.0,0
12,1672531920000,6363.52,6363.52,6363.52,6363.52,0.0,1672531979999,0.0,0,0.0,0.0,0
13,1672531980000,6363.52,6363.52,6363.52,6363.52,0.0,1672532039999,0.0,0,0.0,0.0,0
14,1672532040000,6361.99,6361.99,6361.76,6361.76,0.1566,1672532099999,996.270016,2,0.0,0.0,0
15,1672532100000,6363.98,6363.99,6363.98,6363.99,0.4315,1672532159999,2746.061359,2,0.4315,2746.061359,0
16,1672532160000,6363.12,6363.12,6363.12,6363.12,0.0078,1672532219999,49.632336,1,0.0078,49.632336,0
17,1672532220000,6364.91,6364.91,6364.91,6364.91,0.0251,1672532279999,159.759241,1,0.0251,159.759241,0
18,1672532280000,6363.7,6363.7,6363.7,6363.7,0.0017,1672532339999,10.81829,1,0.0,0.0,0
19,1672532340000,6363.7,6363.7,6363.7,6363.7,0.0,1672532399999,0.0,0,0.0,0.0,0
20,1672532400000,6363.7,6363.7,6363.7,6363.7,0.0,1672532459999,0.0,0,0.0,0.0,0
21,1672532460000,6363.7,6363.7,6363.7,6363.7,0.0,1672532519999,0.0,0,0.0,0.0,0
22,1672532520000,6363.7,6363.7,6363.7,6363.7,0.0,1672532579999,0.0,0,0.0,0.0,0
23,1672532580000,6363.7,6363.7,6363.7,6363.7,0.0,1672532639999,0.0,0,0.0,0.0,0
24,1672532640000,6370.15,6370.15,6370.12,6370.12,1.188,1672532699999,7567.730049,3,0.0,0.0,0
25,1672532700000,6370.12,6370.12,6370.12,6370.12,0.0,1672532759999,0.0,0,0.0,0.0,0
26,1672532760000,6370.12,6370.12,6370.12,6370.12,0.0,1672532819999,0.0,0,0.0,0.0,0
27,1672532820000,6368.53,6368.53,6368.53,6368.53,0.1024,1672532879999,652.137472,1,0.0,0.0,0
28,1672532880000,6369.19,6369.19,6369.19,6369.19,0.0083,1672532939999,52.864277,1,0.0,0.0,0
29,1672532940000,6372.26,6372.28,6372.26,6372.28,0.6126,1672532999999,3903.649911,3,0.6126,3903.649911,0
30,1672533000000,6369.73,6371.68,6369.61,6371.68,0.1597,1672533059999,1017.239491,4,0.0019,12.106192,0
31,1672533060000,6371.68,6371.68,6371.68,6371.68,0.0,1672533119999,0.0,0,0.0,0.0,0
32,1672533120000,6371.68,6371.68,6371.68,6371.68,0.0,1672533179999,0.0,0,0.0,0.0,0
33,1672533180000,6367.64,6367.64,6367.64,6367.64,0.0188,1672533239999,119.711632,1,0.0188,119.711632,0
34,1672533240000,6366.61,6366.61,6360.86,6360.86,0.3348,1672533299999,2130.126038,4,0.0302,192.196872,0
35,1672533300000,6358.6,6358.6,6358.36,6358.36,0.0074,1672533359999,47.05232,2,0.0,0.0,0
36,1672533360000,6358.36,6358.36,6358.36,6358.36,0.0,1672533419999,0.0,0,0.0,0.0,0
37,1672533420000,6355.95,6355.95,6355.85,6355.85,1.2181,1672533479999,7742.156115,4,0.0,0.0,0
38,1672533480000,6355.85,6355.85,6355.85,6355.85,0.0,1672533539999,0.0,0,0.0,0.0,0
39,1672533540000,6360.67,6360.81,6360.67,6360.81,0.1536,1672533599999,977.009664,2,0.1536,977.009664,0
40,1672533600000,6360.81,6360.81,6360.81,6360.81,0.0,1672533659999,0.0,0,0.0,0.0,0
41,1672533660000,6360.81,6360.81,6360.81,6360.81,0.0,1672533719999,0.0,0,0.0,0.0,0
42,1672533720000,6357.85,6357.85,6357.85,6357.85,0.0018,1672533779999,11.44413,1,0.0018,11.44413,0
43,1672533780000,6357.85,6357.85,6357.85,6357.85,0.0,1672533839999,0.0,0,0.0,0.0,0
44,1672533840000,6356.52,6356.52,6356.52,6356.52,0.0205,1672533899999,130.30866,1,0.0,0.0,0
45,1672533900000,6356.52,6356.52,6356.52,6356.52,0.0,1672533959999,0.0,0,0.0,0.0,0
46,1672533960000,6357.42,6357.42,6356.73,6356.73,1.0804,1672534019999,6868.023681,6,0.0,0.0,0
47,1672534020000,6363.32,6364.95,6363.08,6364.95,0.6348,1672534079999,4039.649786,3,0.6348,4039.649786,0
48,1672534080000,6364.95,6364.95,6364.95,6364.95,0.0,1672534139999,0.0,0,0.0,0.0,0
49,1672534140000,6364.95,6364.95,6364.95,6364.95,0.0,1672534199999,0.0,0,0.0,0.0,0
50,1672534200000,6362.58,6362.58,6361.06,6361.06,0.6129,1672534259999,3899.120973,5,0.0,0.0,0
51,1672534260000,6361.06,6361.06,6361.06,6361.06,0.0,1672534319999,0.0,0,0.0,0.0,0
52,1672534320000,6361.06,6361.06,6361.06,6361.06,0.0,1672534379999,0.0,0,0.0,0.0,0
53,1672534380000,6357.57,6357.57,6357.57,6357.57,0.0078,1672534439999,49.589046,1,0.0,0.0,0
54,1672534440000,6362.93,6362.93,6362.93,6362.93,0.0602,1672534499999,383.048386,1,0.0602,383.048386,0
55,1672534500000,6357.64,6357.64,6357.64,6357.64,0.0233,1672534559999,148.133012,1,0.0,0.0,0
56,1672534560000,6363.78,6363.78,6362.87,6363.2,1.2649,1672534619999,8048.513264,4,1.2649,8048.513264,0
57,1672534620000,6363.2,6363.2,6363.2,6363.2,0.0,1672534679999,0.0,0,0.0,0.0,0
58,1672534680000,6363.2,6363.2,6363.2,6363.2,0.0,1672534739999,0.0,0,0.0,0.0,0
59,1672534740000,6363.2,6363.2,6363.2,6363.2,0.0,1672534799999,0.0,0,0.0,0.0,0
60,1672534800000,6358.43,6361.62,6358.36,6361.62,0.1559,1672534859999,991.291298,3,0.0049,31.171938,0
61,1672534860000,6361.62,6361.62,6361.62,6361.62,0.0,1672534919999,0.0,0,0.0,0.0,0
62,1672534920000,6361.62,6361.62,6361.62,6361.62,0.0,1672534979999,0.0,0,0.0,0.0,0
63,1672534980000,6365.19,6365.19,6365.19,6365.19,0.0128,1672535039999,81.474432,1,0.0128,81.474432,0
64,1672535040000,6365.19,6365.19,6365.19,6365.19,0.0,1672535099999,0.0,0,0.0,0.0,0
65,1672535100000,6365.19,6365.19,6365.19,6365.19,0.0,1672535159999,0.0,0,0.0,0.0,0
66,1672535160000,6361.85,6361.85,6361.85,6361.85,0.0534,1672535219999,339.72279,1,0.0534,339.72279,0
67,1672535220000,6361.8,6361.8,6361.8,6361.8,0.0019,1672535279999,12.08742,1,0.0019,12.08742,0
68,1672535280000,6361.8,6361.8,6361.8,6361.8,0.0,1672535339999,0.0,0,0.0,0.0,0
69,1672535340000,6361.8,6361.8,6361.8,6361.8,0.0,1672535399999,0.0,0,0.0,0.0,0
70,1672535400000,6361.8,6361.8,6361.8,6361.8,0.0,1672535459999,0.0,0,0.0,0.0,0
71,1672535460000,6361.8,6361.8,6361.8,6361.8,0.0,1672535519999,0.0,0,0.0,0.0,0
72,1672535520000,6369.5,6369.5,6369.5,6369.5,1.0338,1672535579999,6584.7891,3,0.1673,1065.61735,0
73,1672535580000,6369.5,6369.5,6369.5,6369.5,0.0,1672535639999,0.0,0,0.0,0.0,0
74,1672535640000,6369.5,6369.5,6369.5,6369.5,0.0,1672535699999,0.0,0,0.0,0.0,0
75,1672535700000,6369.5,6369.5,6369.5,6369.5,0.0,1672535759999,0.0,0,0.0,0.0,0
76,1672535760000,6366.19,6366.19,6366.19,6366.19,0.0568,1672535819999,361.599592,1,0.0,0.0,0
77,1672535820000,6365.59,6365.59,6365.59,6365.59,0.8754,1672535879999,5572.437486,1,0.0,0.0,0
78,1672535880000,6365.59,6365.59,6365.59,6365.59,0.0,1672535939999,0.0,0,0.0,0.0,0
79,1672535940000,6365.59,6365.59,6365.59,6365.59,0.0,1672535999999,0.0,0,0.0,0.0,0
80,1672536000000,6367.2,6367.2,6367.2,6367.2,0.0082,1672536059999,52.21104,1,0.0082,52.21104,0
81,1672536060000,6363.2,6363.2,6363.2,6363.2,0.3313,1672536119999,2108.12816,2,0.0,0.0,0
82,1672536120000,6361.19,6365.07,6361.19,6365.07,0.1591,1672536179999,1012.674877,2,0.1571,999.952497,0
83,1672536180000,6365.07,6365.07,6365.07,6365.07,0.0,1672536239999,0.0,0,0.0,0.0,0
