,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,0.072299,0.072303,0.072299,0.072303,51.3876,1672531259999,3.71547345,138,51.3243,3.71089681,0
1,1672531260000,0.072303,0.072317,0.072303,0.072316,74.9907,1672531319999,5.4224537,169,74.9907,5.4224537,0
2,1672531320000,0.072315,0.072322,0.072315,0.072321,19.5791,1672531379999,1.41590242,54,17.9727,1.29972649,0
3,1672531380000,0.072321,0.072329,0.072321,0.072329,20.6279,1672531439999,1.4918506,32,20.2317,1.46319687,0
4,1672531440000,0.072329,0.07233,0.072329,0.072329,27.4439,1672531499999,1.98501275,61,23.1832,1.67684071,0
5,1672531500000,0.072329,0.072353,0.072328,0.072353,79.9793,1672531559999,5.78592111,103,33.978,2.45810453,0
6,1672531560000,0.072352,0.072356,0.072352,0.072355,18.6585,1672531619999,1.35002154,31,18.3612,1.32851052,0
7,1672531620000,0.072356,0.072356,0.072355,0.072356,21.3365,1672531679999,1.54380394,55,1.7343,0.125487,0
8,1672531680000,0.072355,0.072355,0.072342,0.072342,9.2785,1672531739999,0.67122789,30,0.7524,0.05443236,0
9,1672531740000,0.072342,0.072342,0.072317,0.072328,37.7148,1672531799999,2.72786871,34,16.0125,1.15799217,0
10,1672531800000,0.072327,0.072343,0.072327,0.072342,30.5682,1672531859999,2.21135183,68,30.4248,2.20097914,0
11,1672531860000,0.072342,0.072342,0.072304,0.07233,52.9818,1672531919999,3.83216683,45,0.1743,0.01260672,0
12,1672531920000,0.07233,0.07233,0.072329,0.072329,17.083,1672531979999,1.23561313,47,17.0451,1.23287187,0
13,1672531980000,0.07233,0.07233,0.072326,0.072326,17.1558,1672532039999,1.24086174,32,0.2021,0.01461787,0
14,1672532040000,0.072326,0.072326,0.072306,0.072306,16.965,1672532099999,1.2269674,55,0.053,0.00383317,0
15,1672532100000,0.072306,0.072306,0.072276,0.072291,107.1401,1672532159999,7.74556708,177,13.4757,0.97413335,0
16,1672532160000,0.072291,0.072322,0.072291,0.072322,65.633,1672532219999,4.74555421,122,65.5119,4.7367982,0
17,1672532220000,0.072322,0.072327,0.072322,0.072327,12.9084,1672532279999,0.93362157,54,12.9084,0.93362157,0
18,1672532280000,0.072327,0.072334,0.072327,0.072333,41.7964,1672532339999,3.02326323,101,31.0915,2.24894583,0
19,1672532340000,0.072325,0.072325,0.072324,0.072325,4.3371,1672532399999,0.31368066,23,4.3187,0.3123499,0
20,1672532400000,0.072325,0.072325,0.072325,0.072325,0.0332,1672532459999,0.00240118,3,0.0332,0.00240118,0
21,1672532460000,0.072325,0.072334,0.072325,0.072328,45.7864,1672532519999,3.31179416,20,0.7864,0.05687834,0
22,1672532520000,0.072329,0.072335,0.072328,0.072335,37.7476,1672532579999,2.7303303,46,35.9418,2.59972036,0
23,1672532580000,0.072335,0.072335,0.072334,0.072335,4.5974,1672532639999,0.3325484,16,0.1505,0.0108864,0
24,1672532640000,0.072334,0.072335,0.072334,0.072335,0.7296,1672532699999,0.05277493,4,0.0596,0.00431116,0
25,1672532700000,0.072335,0.072335,0.072323,0.072324,26.8874,1672532759999,1.94483053,16,4.3357,0.3135764,0
26,1672532760000,0.072333,0.072333,0.07232,0.072321,69.7077,1672532819999,5.04190309,38,9.6955,0.70124554,0
27,1672532820000,0.07232,0.072329,0.072312,0.072329,60.3824,1672532879999,4.36673234,21,0.8646,0.06253074,0
28,1672532880000,0.072329,0.072329,0.072328,0.072328,8.3673,1672532939999,0.60519796,20,7.966,0.57617275,0
29,1672532940000,0.072329,0.072329,0.072328,0.072328,10.2102,1672532999999,0.73849068,19,7.4196,0.53665218,0
30,1672533000000,0.072328,0.072329,0.072328,0.072329,16.5945,1672533059999,1.20025761,41,10.8156,0.78228136,0
31,1672533060000,0.072329,0.072331,0.072317,0.072331,96.9771,1672533119999,7.01375183,143,51.5373,3.72734302,0
32,1672533120000,0.072331,0.072331,0.072318,0.072319,29.222,1672533179999,2.11333523,88,6.2029,0.44863841,0
33,1672533180000,0.072318,0.072318,0.072318,0.072318,4.722,1672533239999,0.34148556,6,0.0,0.0,0
34,1672533240000,0.072319,0.072319,0.072258,0.072259,102.05,1672533299999,7.37805943,157,7.562,0.5465538,0
35,1672533300000,0.072259,0.072266,0.072254,0.072255,45.3686,1672533359999,3.27839304,107,26.6181,1.92351729,0
36,1672533360000,0.072255,0.072266,0.072254,0.072255,38.8769,1672533419999,2.80928408,34,11.9035,0.86008732,0
37,1672533420000,0.072254,0.072258,0.072254,0.072255,74.6177,1672533479999,5.39151324,153,32.5912,2.35490759,0
38,1672533480000,0.072254,0.072257,0.072254,0.072257,52.0676,1672533539999,3.76221781,84,49.9023,3.60576222,0
39,1672533540000,0.072257,0.072263,0.072257,0.072263,18.6035,1672533599999,1.3443436,58,18.6035,1.3443436,0
40,1672533600000,0.072263,0.072263,0.072262,0.072262,31.5809,1672533659999,2.28212949,57,30.8302,2.22788246,0
41,1672533660000,0.072263,0.072263,0.072247,0.072252,73.0714,1672533719999,5.27977052,127,22.3385,1.61400994,0
42,1672533720000,0.072257,0.072257,0.072256,0.072257,2.7577,1672533779999,0.19926309,7,2.7472,0.19850441,0
43,1672533780000,0.072257,0.072259,0.072256,0.072259,15.2662,1672533839999,1.10311176,38,14.9848,1.08277895,0
44,1672533840000,0.072263,0.072272,0.072262,0.072272,34.0919,1672533899999,2.46374099,70,31.0607,2.24467643,0
45,1672533900000,0.072271,0.072272,0.072271,0.072271,22.9138,1672533959999,1.65602146,16,18.3026,1.32276548,0
46,1672533960000,0.072271,0.072271,0.072257,0.072266,82.3923,1672534019999,5.95403855,88,27.3908,1.97928811,0
47,1672534020000,0.072266,0.072275,0.072266,0.072275,13.5912,1672534079999,0.98220262,9,13.5746,0.98100299,0
48,1672534080000,0.072274,0.072282,0.072274,0.072281,19.7203,1672534139999,1.42531089,84,17.6309,1.27429025,0
49,1672534140000,0.072281,0.072281,0.072269,0.072269,35.2842,1672534199999,2.55014053,70,17.3003,1.25029255,0
50,1672534200000,0.07227,0.07227,0.072253,0.072253,50.2639,1672534259999,3.63233883,35,2.6023,0.18803466,0
51,1672534260000,0.072253,0.072254,0.072253,0.072254,0.6563,1672534319999,0.04742027,5,0.6529,0.04717461,0
52,1672534320000,0.072254,0.072254,0.072254,0.072254,0.0677,1672534379999,0.00489159,3,0.0677,0.00489159,0
53,1672534380000,0.072264,0.072265,0.072264,0.072264,3.3149,1672534439999,0.23954828,12,0.374,0.0270271,0
54,1672534440000,0.072265,0.072278,0.072264,0.072277,80.2709,1672534499999,5.80143146,121,28.9106,2.08939003,0
55,1672534500000,0.072277,0.072278,0.072277,0.072278,11.6219,1672534559999,0.84000136,21,5.3532,0.38691854,0
56,1672534560000,0.072278,0.072278,0.072277,0.072278,4.5097,1672534619999,0.32595034,16,2.8015,0.20248679,0
57,1672534620000,0.072277,0.072277,0.072268,0.072275,64.5011,1672534679999,4.66149974,131,31.6169,2.28492306,0
58,1672534680000,0.072268,0.072268,0.072224,0.072233,113.7274,1672534739999,8.21631537,276,24.3497,1.7591348,0
59,1672534740000,0.072233,0.072235,0.072232,0.072234,51.9692,1672534799999,3.75392733,190,49.496,3.57527862,0
60,1672534800000,0.072234,0.07224,0.072234,0.072239,23.6376,1672534859999,1.7074658,94,21.0134,1.51790276,0
61,1672534860000,0.072239,0.07224,0.072239,0.072239,7.7245,1672534919999,0.55801552,56,5.627,0.40649442,0
62,1672534920000,0.072239,0.072254,0.072239,0.072253,11.5796,1672534979999,0.83656122,72,9.4773,0.68467458,0
63,1672534980000,0.072253,0.072254,0.072236,0.072251,81.4792,1672535039999,5.88652043,105,35.2879,2.54951875,0
64,1672535040000,0.072251,0.072251,0.072231,0.072231,11.1305,1672535099999,0.80413523,19,6.8141,0.49227536,0
65,1672535100000,0.072231,0.072231,0.07223,0.072231,3.7735,1672535159999,0.2725633,32,3.5291,0.2549103,0
66,1672535160000,0.07223,0.072231,0.07223,0.072231,6.1462,1672535219999,0.44394043,13,0.4791,0.03460586,0
67,1672535220000,0.072231,0.072231,0.07223,0.072231,10.4197,1672535279999,0.75262122,17,6.3915,0.4616644,0
68,1672535280000,0.072231,0.072231,0.07223,0.072231,5.1986,1672535339999,0.37549912,12,4.2967,0.3103549,0
69,1672535340000,0.07223,0.072289,0.07223,0.072289,55.4415,1672535399999,4.00654915,128,55.2368,3.99176083,0
70,1672535400000,0.072289,0.072289,0.072288,0.072288,1.1081,1672535459999,0.08010295,6,0.6505,0.04702398,0
71,1672535460000,0.072288,0.072289,0.072288,0.072288,0.1922,1672535519999,0.01389382,4,0.0878,0.00634697,0
