,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,1115.34,1115.45,1115.28,1115.45,1.9046,1672531259999,2124.283829,20,0.5505,614.008316,0
1,1672531260000,1115.45,1115.57,1115.31,1115.31,6.9771,1672531319999,7782.074937,20,0.0,0.0,0
2,1672531320000,1115.41,1115.41,1115.41,1115.41,0.009,1672531379999,10.03869,1,0.0,0.0,0
3,1672531380000,1115.25,1115.27,1115.17,1115.17,11.1809,1672531439999,12469.353252,22,0.1689,188.368122,0
4,1672531440000,1115.17,1115.6,1115.17,1115.6,23.9351,1672531499999,26695.129654,54,17.5237,19545.328716,0
5,1672531500000,1115.56,1115.71,1115.55,1115.71,8.1095,1672531559999,9047.426217,14,8.1095,9047.426217,0
6,1672531560000,1115.75,1115.82,1115.75,1115.82,0.2191,1672531619999,244.465046,3,0.2191,244.465046,0
7,1672531620000,1115.81,1115.81,1115.81,1115.81,1.1844,1672531679999,1321.565364,4,0.0,0.0,0
8,1672531680000,1115.66,1115.66,1114.91,1114.95,32.1059,1672531739999,35814.966901,30,0.933,1040.242116,0
9,1672531740000,1114.91,1114.91,1114.32,1114.66,4.0539,1672531799999,4518.674078,35,0.5423,604.477592,0
10,1672531800000,1114.64,1115.02,1114.64,1114.91,22.7708,1672531859999,25382.184291,25,21.5171,23984.421505,0
11,1672531860000,1114.91,1114.94,1114.86,1114.94,0.1504,1672531919999,167.681244,6,0.0448,49.949088,0
12,1672531920000,1114.93,1114.93,1114.42,1114.42,9.3246,1672531979999,10395.695357,18,0.0,0.0,0
13,1672531980000,1114.42,1114.42,1114.42,1114.42,0.0,1672532039999,0.0,0,0.0,0.0,0
14,1672532040000,1114.42,1114.42,1114.41,1114.41,4.1428,1672532099999,4616.784509,15,0.0094,10.475548,0
15,1672532100000,1113.8,1114.03,1113.8,1113.91,6.4827,1672532159999,7221.144766,20,1.5407,1716.195325,0
16,1672532160000,1113.91,1114.26,1113.64,1114.26,5.2794,1672532219999,5881.287858,13,3.6079,4019.265783,0
17,1672532220000,1114.08,1114.38,1113.97,1114.38,20.9256,1672532279999,23314.05584,18,20.7756,23146.949171,0
18,1672532280000,1114.37,1114.85,1114.37,1114.61,7.3397,1672532339999,8180.874856,27,5.7177,6372.673469,0
19,1672532340000,1114.94,1115.43,1114.94,1115.18,9.5916,1672532399999,10696.586728,32,5.6153,6262.248722,0
20,1672532400000,1115.09,1115.21,1115.09,1115.21,2.5069,1672532459999,2795.440881,6,2.5069,2795.440881,0
21,1672532460000,1115.25,1115.45,1115.23,1115.44,7.7595,1672532519999,8654.018984,18,3.6275,4045.660024,0
22,1672532520000,1115.44,1115.44,1115.1,1115.1,0.3303,1672532579999,368.364167,9,0.0268,29.893792,0
23,1672532580000,1115.09,1115.44,1115.09,1115.41,2.5837,1672532639999,2881.52119,17,1.3406,1494.962627,0
24,1672532640000,1115.43,1115.43,1115.29,1115.29,0.1483,1672532699999,165.407517,2,0.0,0.0,0
25,1672532700000,1115.33,1115.37,1115.33,1115.37,1.3195,1672532759999,1471.683774,5,1.3195,1471.683774,0
26,1672532760000,1115.41,1115.73,1115.41,1115.48,9.3435,1672532819999,10422.606471,15,2.4549,2738.487193,0
27,1672532820000,1115.5,1115.79,1115.5,1115.75,9.5132,1672532879999,10613.045593,17,7.3486,8197.806559,0
28,1672532880000,1115.71,1115.71,1115.71,1115.71,1.0,1672532939999,1115.71,1,1.0,1115.71,0
29,1672532940000,1115.72,1115.73,1115.69,1115.73,1.0422,1672532999999,1162.809416,6,1.0422,1162.809416,0
30,1672533000000,1115.72,1115.72,1115.35,1115.44,20.943,1672533059999,23363.040157,28,0.0891,99.390264,0
31,1672533060000,1115.43,1115.43,1115.38,1115.38,2.292,1672533119999,2556.509412,12,1.0434,1163.807538,0
32,1672533120000,1115.37,1115.37,1114.83,1114.84,4.3028,1672533179999,4798.54698,10,1.257,1401.353034,0
33,1672533180000,1114.83,1114.83,1114.68,1114.68,1.5948,1672533239999,1777.827753,4,0.0,0.0,0
34,1672533240000,1114.76,1114.76,1112.85,1113.71,6.219,1672533299999,6927.017881,36,0.9868,1099.626936,0
35,1672533300000,1113.62,1113.67,1113.11,1113.11,13.234,1672533359999,14735.543743,30,2.5878,2881.144138,0
36,1672533360000,1113.34,1113.64,1112.82,1113.02,4.396,1672533419999,4894.220119,20,3.1452,3501.882981,0
37,1672533420000,1112.94,1112.94,1112.22,1112.61,27.7529,1672533479999,30876.896608,36,25.3205,28170.922337,0
38,1672533480000,1112.69,1113.18,1112.69,1113.04,17.9546,1672533539999,19979.299105,30,17.4392,19405.633078,0
39,1672533540000,1113.0,1113.67,1112.81,1113.6,7.6545,1672533599999,8523.477806,30,2.6065,2902.197076,0
40,1672533600000,1113.6,1113.6,1113.28,1113.38,28.7089,1672533659999,31968.184677,22,6.3669,7088.703822,0
41,1672533660000,1113.26,1113.26,1112.1,1112.67,18.3377,1672533719999,20402.454594,39,1.9369,2155.028123,0
42,1672533720000,1112.47,1112.47,1112.47,1112.47,0.0272,1672533779999,30.259184,1,0.0,0.0,0
43,1672533780000,1112.54,1112.68,1112.54,1112.68,13.6718,1672533839999,15212.325574,6,13.5992,15131.545732,0
44,1672533840000,1112.71,1113.27,1112.71,1112.91,2.5675,1672533899999,2857.89488,26,0.1019,113.389571,0
45,1672533900000,1112.86,1112.97,1112.79,1112.96,9.1961,1672533959999,10234.205801,10,4.5759,5092.555272,0
46,1672533960000,1112.98,1112.98,1112.98,1112.98,0.0783,1672534019999,87.146334,2,0.0783,87.146334,0
47,1672534020000,1113.26,1113.57,1113.25,1113.57,12.0326,1672534079999,13396.944348,18,12.01,13371.784898,0
48,1672534080000,1113.88,1114.01,1113.79,1114.01,2.7911,1672534139999,3108.934928,13,1.7822,1985.164356,0
49,1672534140000,1114.11,1114.11,1113.7,1113.7,2.0428,1672534199999,2275.186914,13,0.0396,44.10252,0
50,1672534200000,1113.69,1113.69,1113.29,1113.29,13.49,1672534259999,15023.194572,13,1.0906,1214.333234,0
51,1672534260000,1113.35,1113.38,1113.35,1113.38,0.6933,1672534319999,771.896839,3,0.3529,392.904744,0
52,1672534320000,1113.39,1113.4,1113.39,1113.4,0.5699,1672534379999,634.526062,12,0.5101,567.94534,0
53,1672534380000,1113.4,1113.4,1113.4,1113.4,6.3597,1672534439999,7080.88998,5,6.3597,7080.88998,0
54,1672534440000,1113.4,1114.06,1113.4,1113.83,8.6188,1672534499999,9598.229653,15,7.3214,8152.871853,0
55,1672534500000,1113.83,1113.83,1113.83,1113.83,0.0,1672534559999,0.0,0,0.0,0.0,0
56,1672534560000,1113.8,1113.96,1113.8,1113.96,0.602,1672534619999,670.587552,3,0.602,670.587552,0
57,1672534620000,1113.96,1113.96,1113.96,1113.96,0.0251,1672534679999,27.960396,1,0.0,0.0,0
58,1672534680000,1113.97,1113.97,1113.28,1113.29,26.6974,1672534739999,29732.023611,31,0.0,0.0,0
59,1672534740000,1113.3,1113.3,1113.28,1113.28,6.9946,1672534799999,7786.949957,31,0.1087,121.014803,0
60,1672534800000,1113.28,1113.28,1112.9,1113.03,5.521,1672534859999,6144.905337,43,3.6978,4115.477551,0
61,1672534860000,1113.13,1113.33,1113.13,1113.33,6.2005,1672534919999,6902.249953,5,6.2005,6902.249953,0
62,1672534920000,1113.33,1113.94,1113.33,1113.77,31.2715,1672534979999,34818.201331,28,30.4589,33913.109558,0
63,1672534980000,1113.62,1114.0,1113.62,1113.93,25.9634,1672535039999,28921.601261,26,0.0884,98.444008,0
64,1672535040000,1113.93,1113.93,1113.2,1113.35,3.2607,1672535099999,3631.183149,15,0.8842,984.46378,0
65,1672535100000,1113.34,1113.34,1113.3,1113.3,3.1514,1672535159999,3508.456989,24,0.0089,9.908459,0
66,1672535160000,1113.2,1113.26,1113.2,1113.25,1.4191,1672535219999,1579.770902,8,1.1273,1254.924552,0
67,1672535220000,1113.25,1113.27,1113.24,1113.27,8.5984,1672535279999,9572.306471,21,7.8938,8787.911429,0
68,1672535280000,1113.34,1113.34,1113.34,1113.34,0.0772,1672535339999,85.949848,1,0.0772,85.949848,0
