,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,988.53,988.53,988.53,988.53,0.128,1672531259999,126.53184,1,0.0,0.0,0
1,1672531260000,988.53,988.53,988.53,988.53,0.0,1672531319999,0.0,0,0.0,0.0,0
2,1672531320000,988.53,988.53,988.53,988.53,0.0,1672531379999,0.0,0,0.0,0.0,0
3,1672531380000,988.53,988.53,988.53,988.53,0.0,1672531439999,0.0,0,0.0,0.0,0
4,1672531440000,988.81,988.81,988.81,988.81,0.1392,1672531499999,137.642352,1,0.1392,137.642352,0
5,1672531500000,988.81,988.81,988.81,988.81,0.0,1672531559999,0.0,0,0.0,0.0,0
6,1672531560000,988.93,988.93,988.93,988.93,0.1685,1672531619999,166.634705,1,0.0,0.0,0
7,1672531620000,988.8,988.8,988.77,988.77,0.3372,1672531679999,333.418644,3,0.0,0.0,0
8,1672531680000,988.77,988.77,988.77,988.77,0.0,1672531739999,0.0,0,0.0,0.0,0
9,1672531740000,988.77,988.77,988.77,988.77,0.0,1672531799999,0.0,0,0.0,0.0,0
10,1672531800000,988.31,988.58,988.31,988.58,0.0851,1672531859999,84.125431,2,0.0851,84.125431,0
11,1672531860000,988.58,988.58,988.58,988.58,0.0,1672531919999,0.0,0,0.0,0.0,0
12,1672531920000,988.01,988.3,988.01,988.3,0.8032,1672531979999,793.621803,2,0.8032,793.621803,0
13,1672531980000,988.14,988.14,988.14,988.14,0.7999,1672532039999,790.413186,1,0.0,0.0,0
14,1672532040000,988.0,988.0,988.0,988.0,0.1519,1672532099999,150.0772,1,0.0,0.0,0
15,1672532100000,988.0,988.0,988.0,988.0,0.0,1672532159999,0.0,0,0.0,0.0,0
16,1672532160000,987.43,987.43,987.43,987.43,0.1012,1672532219999,99.927916,1,0.1012,99.927916,0
17,1672532220000,987.43,987.43,987.43,987.43,0.0,1672532279999,0.0,0,0.0,0.0,0
18,1672532280000,987.43,987.43,987.43,987.43,0.0,1672532339999,0.0,0,0.0,0.0,0
19,1672532340000,987.43,987.43,987.43,987.43,0.0,1672532399999,0.0,0,0.0,0.0,0
20,1672532400000,988.31,988.31,988.31,988.31,0.1111,1672532459999,109.801241,1,0.0,0.0,0
21,1672532460000,988.31,988.31,988.31,988.31,0.0,1672532519999,0.0,0,0.0,0.0,0
22,1672532520000,988.85,988.85,988.85,988.85,0.18,1672532579999,177.993,1,0.18,177.993,0
23,1672532580000,988.84,988.84,988.84,988.84,0.1324,1672532639999,130.922416,1,0.1324,130.922416,0
24,1672532640000,988.57,988.57,988.57,988.57,0.5664,1672532699999,559.926048,1,0.5664,559.926048,0
25,1672532700000,988.57,988.57,988.57,988.57,0.0,1672532759999,0.0,0,0.0,0.0,0
26,1672532760000,988.57,988.57,988.57,988.57,0.0,1672532819999,0.0,0,0.0,0.0,0
27,1672532820000,988.57,988.57,988.57,988.57,0.0,1672532879999,0.0,0,0.0,0.0,0
28,1672532880000,989.2,989.2,988.67,988.67,2.2275,1672532939999,2203.011063,9,0.0,0.0,0
29,1672532940000,989.04,989.04,989.04,989.04,0.1328,1672532999999,131.344512,1,0.1328,131.344512,0
30,1672533000000,988.93,988.93,988.93,988.93,0.3057,1672533059999,302.315901,1,0.3057,302.315901,0
31,1672533060000,988.95,988.95,988.95,988.95,0.0293,1672533119999,28.976235,1,0.0293,28.976235,0
32,1672533120000,988.57,988.57,988.2,988.2,0.5638,1672533179999,557.222011,2,0.3615,357.2343,0
33,1672533180000,988.2,988.2,988.2,988.2,0.0,1672533239999,0.0,0,0.0,0.0,0
34,1672533240000,987.43,987.43,986.96,987.3,2.0969,1672533299999,2070.341978,5,0.0,0.0,0
35,1672533300000,987.17,987.17,986.69,986.81,0.98,1672533359999,967.073716,7,0.98,967.073716,0
36,1672533360000,987.23,987.23,986.77,986.77,1.276,1672533419999,1259.33748,2,0.476,469.92148,0
37,1672533420000,986.15,986.36,985.91,985.91,0.8,1672533479999,788.8244,4,0.8,788.8244,0
38,1672533480000,985.91,985.91,985.91,985.91,0.0,1672533539999,0.0,0,0.0,0.0,0
39,1672533540000,987.67,987.67,987.67,987.67,0.8,1672533599999,790.136,1,0.0,0.0,0
40,1672533600000,986.68,986.9,986.68,986.9,0.4363,1672533659999,430.559632,4,0.4363,430.559632,0
41,1672533660000,986.49,986.65,986.49,986.65,0.4944,1672533719999,487.741568,2,0.4944,487.741568,0
42,1672533720000,986.65,986.65,986.65,986.65,0.0,1672533779999,0.0,0,0.0,0.0,0
43,1672533780000,986.65,986.65,986.65,986.65,0.0,1672533839999,0.0,0,0.0,0.0,0
44,1672533840000,986.65,986.65,986.65,986.65,0.0,1672533899999,0.0,0,0.0,0.0,0
45,1672533900000,987.06,987.06,987.06,987.06,0.8,1672533959999,789.648,1,0.0,0.0,0
46,1672533960000,987.06,987.06,987.06,987.06,0.0,1672534019999,0.0,0,0.0,0.0,0
47,1672534020000,987.24,987.24,987.24,987.24,0.0293,1672534079999,28.926132,1,0.0293,28.926132,0
48,1672534080000,987.24,987.24,987.24,987.24,0.0,1672534139999,0.0,0,0.0,0.0,0
49,1672534140000,987.79,987.81,987.38,987.38,0.8,1672534199999,790.012506,3,0.8,790.012506,0
50,1672534200000,987.38,987.38,987.38,987.38,0.0,1672534259999,0.0,0,0.0,0.0,0
51,1672534260000,987.72,987.75,987.44,987.44,1.2175,1672534319999,1202.28123,4,0.253,249.89535,0
52,1672534320000,987.44,987.44,987.44,987.44,0.0,1672534379999,0.0,0,0.0,0.0,0
53,1672534380000,987.53,987.74,987.17,987.74,2.93,1672534439999,2893.619775,6,1.3375,1320.733375,0
54,1672534440000,987.51,987.51,987.51,987.51,0.9519,1672534499999,940.010769,2,0.9519,940.010769,0
55,1672534500000,987.87,987.87,987.87,987.87,0.0787,1672534559999,77.745369,1,0.0,0.0,0
56,1672534560000,987.83,988.17,987.83,988.17,0.1269,1672534619999,125.384527,2,0.085,83.99445,0
57,1672534620000,988.17,988.17,988.17,988.17,0.0,1672534679999,0.0,0,0.0,0.0,0
58,1672534680000,987.38,987.54,987.38,987.54,0.8809,1672534739999,869.815282,3,0.2015,198.98931,0
59,1672534740000,987.54,987.54,987.54,987.54,0.0,1672534799999,0.0,0,0.0,0.0,0
60,1672534800000,987.54,987.54,987.54,987.54,0.0,1672534859999,0.0,0,0.0,0.0,0
61,1672534860000,987.01,987.28,987.01,987.28,0.5274,1672534919999,520.622307,4,0.5274,520.622307,0
62,1672534920000,987.28,987.28,987.28,987.28,0.0,1672534979999,0.0,0,0.0,0.0,0
63,1672534980000,987.45,987.45,987.45,987.45,0.2531,1672535039999,249.923595,1,0.2531,249.923595,0
64,1672535040000,987.45,987.45,987.45,987.45,0.0,1672535099999,0.0,0,0.0,0.0,0
