,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,22817.0,22817.0,22817.0,22817.0,0.0,1672531259999,0.0,0,0.0,0.0,0
1,1672531260000,22810.0,22815.0,22810.0,22815.0,0.8765,1672531319999,19995.1686,3,0.8765,19995.1686,0
2,1672531320000,22815.0,22815.0,22815.0,22815.0,0.0,1672531379999,0.0,0,0.0,0.0,0
3,1672531380000,22807.0,22807.0,22807.0,22807.0,0.0751,1672531439999,1712.8057,1,0.0,0.0,0
4,1672531440000,22808.0,22808.0,22807.0,22807.0,0.0871,1672531499999,1986.5329,3,0.011,250.877,0
5,1672531500000,22815.0,22815.0,22815.0,22815.0,0.3313,1672531559999,7558.6095,5,0.0,0.0,0
6,1672531560000,22816.0,22816.0,22816.0,22816.0,0.0054,1672531619999,123.2064,1,0.0054,123.2064,0
7,1672531620000,22821.0,22821.0,22821.0,22821.0,0.0131,1672531679999,298.9551,1,0.0131,298.9551,0
8,1672531680000,22821.0,22821.0,22821.0,22821.0,0.0,1672531739999,0.0,0,0.0,0.0,0
9,1672531740000,22800.0,22800.0,22800.0,22800.0,0.0548,1672531799999,1249.44,1,0.0,0.0,0
10,1672531800000,22800.0,22800.0,22800.0,22800.0,0.0,1672531859999,0.0,0,0.0,0.0,0
11,1672531860000,22802.0,22802.0,22802.0,22802.0,0.2261,1672531919999,5155.5322,3,0.0,0.0,0
12,1672531920000,22802.0,22802.0,22802.0,22802.0,0.0,1672531979999,0.0,0,0.0,0.0,0
13,1672531980000,22802.0,22802.0,22802.0,22802.0,0.0,1672532039999,0.0,0,0.0,0.0,0
14,1672532040000,22802.0,22802.0,22802.0,22802.0,0.0,1672532099999,0.0,0,0.0,0.0,0
15,1672532100000,22802.0,22802.0,22802.0,22802.0,0.0,1672532159999,0.0,0,0.0,0.0,0
16,1672532160000,22779.0,22779.0,22779.0,22779.0,0.0087,1672532219999,198.1773,1,0.0087,198.1773,0
17,1672532220000,22779.0,22779.0,22779.0,22779.0,0.0,1672532279999,0.0,0,0.0,0.0,0
18,1672532280000,22779.0,22779.0,22779.0,22779.0,0.0,1672532339999,0.0,0,0.0,0.0,0
19,1672532340000,22779.0,22779.0,22779.0,22779.0,0.0,1672532399999,0.0,0,0.0,0.0,0
20,1672532400000,22807.0,22807.0,22807.0,22807.0,0.1979,1672532459999,4513.5053,1,0.0,0.0,0
21,1672532460000,22808.0,22808.0,22807.0,22807.0,2.43,1672532519999,55421.3373,4,1.5865,36183.3055,0
22,1672532520000,22810.0,22811.0,22810.0,22811.0,0.8788,1672532579999,20045.9274,4,0.8788,20045.9274,0
23,1672532580000,22811.0,22811.0,22811.0,22811.0,0.0586,1672532639999,1336.7246,1,0.0586,1336.7246,0
24,1672532640000,22815.0,22815.0,22815.0,22815.0,0.1254,1672532699999,2861.001,1,0.1254,2861.001,0
25,1672532700000,22818.0,22818.0,22817.0,22817.0,0.5652,1672532759999,12896.6678,3,0.0658,1501.3586,0
26,1672532760000,22817.0,22820.0,22816.0,22816.0,0.3447,1672532819999,7864.9302,7,0.3447,7864.9302,0
