,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
0,1672531200000,39.78,39.78,39.78,39.78,0.0,1672531259999,0.0,0,0.0,0.0,0
1,1672531260000,39.78,39.78,39.78,39.78,57.0,1672531319999,2267.46,1,0.0,0.0,0
2,1672531320000,39.78,39.78,39.7,39.71,107.0,1672531379999,4248.77,5,0.0,0.0,0
3,1672531380000,39.7,39.7,39.7,39.7,100.0,1672531439999,3970.0,2,0.0,0.0,0
4,1672531440000,39.7,39.7,39.7,39.7,0.0,1672531499999,0.0,0,0.0,0.0,0
5,1672531500000,39.7,39.7,39.7,39.7,0.0,1672531559999,0.0,0,0.0,0.0,0
6,1672531560000,39.7,39.7,39.7,39.7,0.0,1672531619999,0.0,0,0.0,0.0,0
7,1672531620000,39.7,39.7,39.7,39.7,0.0,1672531679999,0.0,0,0.0,0.0,0
8,1672531680000,39.7,39.7,39.7,39.7,39.0,1672531739999,1548.3,1,0.0,0.0,0
9,1672531740000,39.7,39.7,39.7,39.7,0.0,1672531799999,0.0,0,0.0,0.0,0
10,1672531800000,39.7,39.74,39.7,39.74,117.0,1672531859999,4649.34,2,111.0,4411.14,0
11,1672531860000,39.74,39.74,39.74,39.74,0.0,1672531919999,0.0,0,0.0,0.0,0
12,1672531920000,39.74,39.74,39.74,39.74,0.0,1672531979999,0.0,0,0.0,0.0,0
13,1672531980000,39.7,39.7,39.7,39.7,50.0,1672532039999,1985.0,1,0.0,0.0,0
14,1672532040000,39.7,39.7,39.7,39.7,11.0,1672532099999,436.7,1,0.0,0.0,0
15,1672532100000,39.7,39.7,39.7,39.7,69.0,1672532159999,2739.3,2,0.0,0.0,0
16,1672532160000,39.7,39.7,39.7,39.7,0.0,1672532219999,0.0,0,0.0,0.0,0
17,1672532220000,39.7,39.7,39.7,39.7,0.0,1672532279999,0.0,0,0.0,0.0,0
18,1672532280000,39.7,39.7,39.67,39.67,136.0,1672532339999,5398.15,4,0.0,0.0,0
19,1672532340000,39.67,39.68,39.67,39.68,152.0,1672532399999,6030.56,2,0.0,0.0,0
20,1672532400000,39.68,39.68,39.68,39.68,4.0,1672532459999,158.72,1,0.0,0.0,0
21,1672532460000,39.68,39.68,39.68,39.68,0.0,1672532519999,0.0,0,0.0,0.0,0
22,1672532520000,39.74,39.78,39.73,39.73,2300.0,1672532579999,91452.12,5,2200.0,87479.12,0
23,1672532580000,39.79,39.79,39.79,39.79,364.0,1672532639999,14483.56,1,364.0,14483.56,0
24,1672532640000,39.74,39.77,39.73,39.73,156.0,1672532699999,6198.99,4,26.0,1034.02,0
25,1672532700000,39.77,39.77,39.77,39.77,146.0,1672532759999,5806.42,1,146.0,5806.42,0
26,1672532760000,39.76,39.76,39.76,39.76,200.0,1672532819999,7952.0,1,0.0,0.0,0
27,1672532820000,39.77,39.77,39.77,39.77,118.0,1672532879999,4692.86,1,0.0,0.0,0
28,1672532880000,39.78,39.78,39.78,39.78,7.0,1672532939999,278.46,1,7.0,278.46,0
29,1672532940000,39.72,39.72,39.72,39.72,130.0,1672532999999,5163.6,1,0.0,0.0,0
30,1672533000000,39.73,39.73,39.73,39.73,170.0,1672533059999,6754.1,1,170.0,6754.1,0
31,1672533060000,39.77,39.77,39.77,39.77,25.0,1672533119999,994.25,2,25.0,994.25,0
32,1672533120000,39.77,39.77,39.77,39.77,0.0,1672533179999,0.0,0,0.0,0.0,0
33,1672533180000,39.77,39.77,39.77,39.77,0.0,1672533239999,0.0,0,0.0,0.0,0
34,1672533240000,39.77,39.78,39.77,39.78,21.0,1672533299999,835.34,3,21.0,835.34,0
35,1672533300000,39.74,39.75,39.74,39.75,106.0,1672533359999,4212.48,2,0.0,0.0,0
36,1672533360000,39.76,39.78,39.76,39.76,1011.0,1672533419999,40197.52,7,701.0,27871.92,0
37,1672533420000,39.78,39.78,39.76,39.76,87.0,1672533479999,3459.62,2,25.0,994.5,0
38,1672533480000,39.76,39.76,39.76,39.76,360.0,1672533539999,14313.6,1,360.0,14313.6,0
39,1672533540000,39.75,39.75,39.75,39.75,34.0,1672533599999,1351.5,1,0.0,0.0,0
40,1672533600000,39.75,39.75,39.75,39.75,0.0,1672533659999,0.0,0,0.0,0.0,0
41,1672533660000,39.75,39.75,39.75,39.75,0.0,1672533719999,0.0,0,0.0,0.0,0
42,1672533720000,39.75,39.75,39.75,39.75,8.0,1672533779999,318.0,1,0.0,0.0,0
43,1672533780000,39.75,39.75,39.75,39.75,100.0,1672533839999,3975.0,1,0.0,0.0,0
44,1672533840000,39.77,39.77,39.77,39.77,9.0,1672533899999,357.93,1,9.0,357.93,0
45,1672533900000,39.77,39.77,39.77,39.77,11.0,1672533959999,437.47,1,11.0,437.47,0
46,1672533960000,39.76,39.76,39.76,39.76,49.0,1672534019999,1948.24,1,49.0,1948.24,0
47,1672534020000,39.75,39.77,39.75,39.75,119.0,1672534079999,4730.33,5,4.0,159.08,0
48,1672534080000,39.75,39.75,39.75,39.75,220.0,1672534139999,8745.0,2,0.0,0.0,0
49,1672534140000,39.75,39.75,39.75,39.75,0.0,1672534199999,0.0,0,0.0,0.0,0
50,1672534200000,39.77,39.77,39.75,39.76,358.0,1672534259999,14233.96,4,23.0,914.71,0
51,1672534260000,39.76,39.76,39.76,39.76,0.0,1672534319999,0.0,0,0.0,0.0,0
52,1672534320000,39.76,39.76,39.76,39.76,0.0,1672534379999,0.0,0,0.0,0.0,0
53,1672534380000,39.76,39.76,39.72,39.72,62.0,1672534439999,2463.12,3,12.0,477.12,0
54,1672534440000,39.71,39.71,39.71,39.71,9.0,1672534499999,357.39,1,0.0,0.0,0
55,1672534500000,39.77,39.77,39.77,39.77,14.0,1672534559999,556.78,1,14.0,556.78,0
56,1672534560000,39.77,39.77,39.77,39.77,0.0,1672534619999,0.0,0,0.0,0.0,0
57,1672534620000,39.76,39.76,39.75,39.76,120.0,1672534679999,4771.11,3,111.0,4413.36,0
58,1672534680000,39.76,39.76,39.76,39.76,0.0,1672534739999,0.0,0,0.0,0.0,0
59,1672534740000,39.75,39.75,39.74,39.74,40.0,1672534799999,1589.68,2,0.0,0.0,0
60,1672534800000,39.74,39.74,39.74,39.74,0.0,1672534859999,0.0,0,0.0,0.0,0
61,1672534860000,39.74,39.74,39.74,39.74,0.0,1672534919999,0.0,0,0.0,0.0,0
62,1672534920000,39.77,39.77,39.71,39.71,75.0,1672534979999,2980.53,2,38.0,1511.26,0
63,1672534980000,39.71,39.71,39.71,39.71,0.0,1672535039999,0.0,0,0.0,0.0,0
64,1672535040000,39.71,39.71,39.71,39.71,0.0,1672535099999,0.0,0,0.0,0.0,0
65,1672535100000,39.72,39.72,39.72,39.72,25.0,1672535159999,993.0,1,0.0,0.0,0
66,1672535160000,39.74,39.77,39.74,39.77,64.0,1672535219999,2545.19,3,64.0,2545.19,0
67,1672535220000,39.77,39.77,39.77,39.77,0.0,1672535279999,0.0,0,0.0,0.0,0
68,1672535280000,39.72,39.76,39.72,39.76,102.0,1672535339999,4052.2,4,19.0,755.44,0
69,1672535340000,39.76,39.76,39.76,39.76,6.0,1672535399999,238.56,1,6.0,238.56,0
70,1672535400000,39.76,39.76,39.76,39.76,0.0,1672535459999,0.0,0,0.0,0.0,0
71,1672535460000,39.72,39.72,39.72,39.72,276.0,1672535519999,10962.72,2,0.0,0.0,0
72,1672535520000,39.72,39.72,39.72,39.72,0.0,1672535579999,0.0,0,0.0,0.0,0
